dapprima	[1758790]
pur	[4849680]
crollo	[3601589, 3601590]
fastidioso	[3761021]
amarezza	[3561437]
preside	[1583043, 1583044]
vespa	[7033310, 7033311]
trionfo	[1722528]
assicurazione	[350327]
furto	[612805, 5070482]
nido	[5172283]
pertanto	[740368, 948080]
imbarazzante	[1301378]
garanzia	[3296530, 4974539]
furbo	[2474495, 3094002]
composizione	[980897]
noia	[1905694, 2796312]
duemila	[1880206, 3222104]
cosiddetto	[1759560]
recare	[1810949]
antiquario	[6162572]
ufficiale	[2059890]
fosso	[3391582]
liberamente	[715201, 1857161]
inutilmente	[4309799]
ingegneria	[4750138]
fogna	[1874159]
radicalmente	[1718953, 1867382]
mediocre	[2632781, 6026157]
applicazione	[1166632, 2132684]
costituzione	[637196, 2988232]
arduo	[1758487]
pancetta	[3779038, 3779042]
poster	[538991]
barriera	[2437218]
decorare	[2152280, 2189454]
riversare	[3343624]
sintomo	[428848, 1265056]
sindaco	[1022999]
concentrazione	[2442466]
sciogliere	[379729, 987859]
quotidianamente	[4434530]
cruciverba	[3268774]
scorpione	[6871878]
candidato	[1739764, 2433713]
abile	[1326955]
vincitore	[1265197]
inciampare	[3305074]
scavare	[3021788]
usanza	[2197529]
avventura	[1187890, 2437728]
orale	[4518]
professione	[5489729]
finanziamento	[3000700]
cittadinanza	[2054194, 3162309]
esercitare	[2443782]
tirocinio	[7196370]
specificare	[3162241]
cordiale	[862194, 2417941]
oggigiorno	[1754705, 7321573]
apatia	[631242]
settanta	[622290, 2055925]
denominare	[3627091]
gratuito	[373956, 1585830]
spostamento	[2213603]
salvo	[4388, 3516661]
lusso	[3566763]
attimo	[624971, 1583647]
sottrarre	[874399]
circostanza	[1816903, 4902352]
sudare	[3317955, 4266289]
specie	[920664, 4886413]
pralina	[996850]
indubbiamente	[1032489]
danneggiare	[668049, 2449136]
artistico	[3441513]
impoverire	[547100]
gratuitamente	[1300676, 4075159]
congresso	[2283512]
ingiustizia	[6954345]
sporgere	[1495072, 2798482]
magico	[4473804, 4473805]
caloria	[4503310]
rotella	[992751]
navigazione	[825809]
allarmare	[3369956]
allenare	[1809181, 5739288]
successivamente	[3284010]
evoluzione	[1737231, 3664587]
mortale	[670805]
determinare	[833533]
calmare	[409335]
comunicativo	[2456034]
incuriosire	[2485408, 4544715]
critico	[2452516, 2989637]
intuire	[2038912]
concessione	[1758490]
ultimamente	[374186, 2189466]
stimolo	[2437991]
attribuire	[1265056, 6843320]
vizio	[937680, 1401354]
bimbo	[4987895]
indagine	[1805712, 4829573]
arrivato	[5465970]
psiche	[4920805]
informatica	[1416105]
burocrazia	[2402142]
preso	[1777062]
cacao	[538988, 2429163]
ininterrottamente	[3621241, 4540836]
profilo	[1461855]
eccezionale	[1792219, 1842400]
somigliare	[2205882]
viale	[5414985]
merito	[1754669, 1856712]
persino	[2420968]
codardia	[1321501]
stabilire	[2272536, 3761070]
malgrado	[2196471, 3093976]
grido	[706823, 5550381]
figuraccia	[2068454]
tragedia	[1485737, 1593465]
altra	[1907011, 2152280]
prevenire	[946780, 3282449]
regolare	[2196471]
ricercare	[5600767]
astro	[2090607]
concorso	[4933426]
magari	[1350158, 3352157]
bocciare	[3987348]
statua	[1049478]
alligatore	[4819837]
interazione	[2457780]
vinto	[2201277]
sottolineare	[1759636, 2092829]
intervista	[3406964]
biscotto	[2615686]
trappola	[3164266]
manifestazione	[4913004]
svolgimento	[1368154]
instabile	[1561186]
riferimento	[1856712]
percentuale	[3483252]
ripresa	[3607212]
viaggiatore	[3284010]
giurisprudenza	[3573650, 3573651]
associazione	[1020523]
inconfondibile	[4998976]
misto	[4916981, 4922682]
turno	[2213750, 3769811]
illustre	[1211170]
dimagrire	[1916346]
parsimonioso	[5985755]
originario	[967395]
elencare	[2140478]
accademico	[1326753]
lassù	[1763977]
brillante	[1838558, 4473516]
trasformazione	[1859680, 2989599]
grandezza	[794196, 2112390]
attrezzo	[2383804, 3094002]
professionalità	[5169014]
vitamina	[4984420, 4984421]
universitario	[373528]
danza	[2275139, 7776127]
salvezza	[1850020]
elemento	[2383781, 2439026]
coordinare	[1368164]
fritto	[1693145, 3190039]
sin	[1083869]
disperatamente	[2997641]
meteo	[2925274]
guadagno	[7980061]
inferiore	[1754643, 2263463]
informatico	[500178, 3272231]
svuotare	[3266035]
delicato	[1755067, 8080760]
partecipazione	[1510811]
inevitabile	[5061881]
compositore	[401495, 6140291]
cuoio	[898090]
pari	[645577, 1000524]
vaccino	[7192424]
allegare	[350371]
rifiuto	[1759560, 4417525]
ridotto	[3283324, 3283325]
architettonico	[1796343]
dedicare	[2460049, 3280643]
progettare	[2416308, 3296228]
accurato	[1759642]
trasferimento	[3671593]
rivoluzione	[2212272, 3278911]
olimpico	[1577797]
essiccare	[4420981]
marca	[4436064]
dipendenza	[3044958, 3268828]
spogliare	[2388998]
preservare	[1758799]
asino	[4548, 385343]
panorama	[403026]
studioso	[1874163]
foro	[3238452]
intraprendere	[3426024]
salto	[1907111]
iscrivere	[508077, 1978309]
commovente	[4910805]
conoscente	[713973]
laboratorio	[1535723, 2575516]
combinazione	[503559, 2195795]
cioccolatino	[4919702]
cortese	[3672186]
copiare	[2056030]
novanta	[622290, 1866684]
udire	[2198200]
musicale	[2205998, 3375669]
alunno	[2291338, 3056945]
classificare	[569602]
diffusione	[2231041]
severamente	[4162976]
preparativo	[3238498, 3238499]
legato	[4919695]
malvagità	[1309161, 1326851]
obbligatorio	[7124241]
climatico	[720451, 2057313]
dintorno	[2219171, 3525537]
massiccio	[1719731, 4722517]
autista	[2584485, 5665637]
indagare	[1103712]
sanità	[399343]
astuto	[2474495]
fiscale	[1471973]
originale	[1002806, 2510733]
