dapprima	[1758790]
commercio	[1754674, 409390, 852703]
giurisprudenza	[3573650, 3573651]
adottare	[612175, 3290927]
associazione	[1020523]
inconfondibile	[4998976]
scarico	[1827257, 1827096, 1827251, 961780]
superiore	[4852668, 409637, 2263463, 716315, 2416293]
misto	[4916981, 4922682]
collezione	[3897610, 621740, 1827034, 4553456]
turno	[2213750]
particolare	[2456093, 1759533, 741765]
vegetariano	[3700684, 1006711]
criticare	[715201, 7775114]
illustre	[1211170]
dimagrire	[1916346]
dieta	[4700, 1514736]
abbattere	[992748, 4703557, 432995]
arcobaleno	[1964663, 378137]
rete	[1765053, 2381534, 4537, 2263687, 1806174]
parsimonioso	[]
originario	[967395]
elencare	[2140478]
accademico	[1326753]
lassù	[1763977]
scherzo	[2784841, 609588, 3269514]
necessità	[1857161, 3529264, 1758471]
brillante	[1838558]
emozionante	[1427191, 3435789, 2412248]
proibire	[3860569, 1020591, 1020593]
racconto	[3233446, 1196995, 3020705, 2429264]
titolo	[2364212, 6173071, 3264402, 6167273]
ideale	[2421425, 2460049, 2421476, 1618912, 7033201]
spaventare	[3375704, 2433650, 2422772]
svedese	[1250577, 2159926, 2448087]
trasformazione	[1859680, 2989599]
grandezza	[794196, 2112390]
attrezzo	[3094002, 2383804]
professionalità	[]
teatrale	[2430327, 3387920]
respirare	[3264339, 841126, 1719412, 1844768]
compagnia	[2848171, 373843, 1371720]
innanzitutto	[1758481, 1833836, 2241829]
modello	[1765107, 1856712, 1758471, 1677491, 1677492]
avventuroso	[]
minimo	[1758726, 5907090, 3290415, 2943034, 2942893]
commento	[3499169, 1239258, 4904194]
informare	[2784790, 2784791]
vitamina	[4984420, 4984421]
abilità	[2127885, 4922299]
turistico	[750418, 4589388]
universitario	[373528]
svenire	[3352110, 3352111, 3352113]
danza	[7776127, 2275139]
cura	[1762755, 4420737, 2784713]
salvezza	[]
curiosità	[1859679, 4982276, 4922682]
garantire	[1349822, 2213980, 1838611, 5385568, 969386]
terribilmente	[2221839]
elemento	[2439026]
centinaio	[1160698, 1936772, 1936775, 1647848]
coordinare	[1368164]
fata	[3088592, 388169]
fritto	[1693145, 3190039]
sin	[1083869]
disperatamente	[2997641]
meteo	[2925274]
guadagno	[7980061]
inferiore	[2263463, 1754643]
informatico	[3272231]
svuotare	[3266035]
delicato	[1755067, 8080760]
partecipazione	[1510811]
inevitabile	[]
fantastico	[4971366, 1516984, 2227490]
compositore	[6140291, 401495]
complicare	[3222104, 4402, 2090471, 3746837, 3530040]
adorare	[1645575, 2215454, 930997, 374333, 375457]
cuoio	[898090]
pari	[645577, 1000524]
vaccino	[7192424]
allegare	[350371]
totale	[4610281]
esattamente	[1964648, 3615827]
rifiuto	[1759560, 4417525]
ridotto	[3283324, 3283325]
costringere	[1402476, 1907049, 1816903]
esagerare	[]
pancia	[3483541, 1343958, 7321562, 5786405]
farfalla	[410190, 1075406, 376595, 691418]
improvviso	[2152280, 948240, 713993, 706823]
tecnologia	[707735, 2213603, 3410107, 388826, 3202878]
guarire	[2073500, 2056107, 2042318, 3408568]
architettonico	[1796343]
attacco	[2420725, 3474049, 2221383]
infine	[3257380, 4947640, 2193336, 2453594, 3663850]
dedicare	[2460049, 3280643]
progettare	[3296228, 2416308]
sicuramente	[2224309, 3987348, 4880989, 354233, 4969141]
calore	[379771, 852660, 2577344, 379772]
cuoco	[756677, 1687408, 746375]
accurato	[1759642]
riguardare	[3093976, 3022744, 2215483, 2196491]
trasferimento	[3671593]
apprendere	[1866867, 6592967]
riprendere	[2003332, 1803746, 1730768, 1730769]
maestro	[896791, 2420249, 2618328, 4894649]
rivoluzione	[2212272]
olimpico	[1577797]
essiccare	[4420981]
marca	[4436064]
dipendenza	[3268828, 3044958]
spogliare	[2388998]
romano	[1226509, 8417445, 1307077, 677583]
preservare	[1758799]
asino	[]
panorama	[403026]
acquisto	[1607934, 5166381, 1836112]
studioso	[1874163]
ultima	[1504157]
foro	[3238452]
intraprendere	[3426024]
salto	[1907111]
iscrivere	[1978309, 508077]
colpa	[4525811, 3420511, 4911581, 3280444, 1858526]
alternativa	[]
commovente	[4910805]
controllo	[1098303, 2231630, 1722698, 6699603, 1689096]
conoscente	[713973]
terminare	[1803920, 1493045, 3219090, 971641]
laboratorio	[1535723, 2575516]
inventato	[904463, 710704, 1086042]
combinazione	[503559, 2195795]
perdita	[632019, 1416105, 520925]
repubblica	[2443751, 6000632, 2458125]
cioccolatino	[4919702]
cortese	[3672186]
copiare	[2056030]
novanta	[1866684, 622290]
ammirare	[2510733, 7713789, 2947860, 5073164, 6018124]
pubblicità	[3319143, 2213831, 2213818, 2213771, 1806799]
udire	[2198200]
musicale	[2205998, 3375669]
neppure	[1866326, 1797934, 1834041]
riordinare	[1751830, 6592965]
alunno	[2291338, 3056945]
classificare	[569602]
differente	[2272237, 1842563, 1987892, 7083019]
diffusione	[2231041]
severamente	[]
metallo	[]
preparativo	[3238498, 3238499]
legato	[4919695]
malvagità	[1326851, 1309161]
obbligatorio	[]
ordinario	[1792217, 1790407, 1272855]
ubriaco	[3321112, 1369176, 1696908]
climatico	[720451, 2057313]
dintorno	[2219171]
moneta	[1329316, 1776145, 4944640, 3343974]
responsabile	[1759594, 1759627, 3641923, 948122]
menzogna	[1856762]
massiccio	[4722517]
rientrare	[5338038, 5338037, 5666044]
oltre	[3280428, 710354, 3695179, 3695180, 2430122]
cerca	[2717851, 2717850, 1187890, 2090459]
autista	[5665637, 2584485]
indagare	[1103712]
annoiare	[967755]
affascinante	[621740, 4877166, 4925247, 1905383, 2998378]
sanità	[399343]
regolarmente	[2433921, 749477]
astuto	[2474495]
fiscale	[1471973]
originale	[2510733, 1002806]
