bisognare	VER:cimp
rifiutare	VER:pres
vicinanza	NOM
periodo	NOM
malfattore	NOM
conferenza	NOM
inoltre	CON 
profanare	VER:infi
ricchezza	NOM
integrato	ADJ
scappare	VER:remo
bellezza	NOM
spaventare	VER:pres
latino	ADJ
superiore	ADJ
ente	NOM
lente	NOM
cura	NOM
intervenire	VER:pper
ricerca	NOM
cieco	ADJ
trionfare	VER:pres
ultrasuono	NOM
bussare	VER:remo
quinto	ADJ
stomaco	NOM
sensazionale	ADJ
dimagrire	VER:infi
festeggiato	NOM
riordinare	VER:geru
farfalla	NOM
massiccio	NOM
astrologo	NOM
massa	NOM
sovrappensiero	NOM
habitat	NOM
valle	NOM
desiderio	NOM
rotella	NOM
prestigio	NOM
accorgere	VER:pres
consigliare	VER:pper
capitare	VER:pper
dettagliato	ADJ
divertire	VER:futu
numeroso	ADJ
calcetto	NOM
stressante	ADJ
terminare	VER:pper
scoprire	VER:remo
pensionato	ADJ
iscrivere	VER:infi
fissare	VER:infi
tre	ADJ
equilibrato	ADJ
possibilità	NOM
canale	NOM
astuto	ADJ
cordiale	ADJ
malanno	NOM
fondo	ADJ
artista	NOM
aeronautico	ADJ
perdono	NOM
componente	NOM
pertanto	ADV
romano	NOM
pratica	NOM
desiderare	VER:pres
apprendere	VER:infi
incognita	NOM
grammaticale	ADJ
azienda	NOM
pauroso	ADJ
presenza	NOM
cauto	ADJ
docente	NOM
requisito	NOM
riuscire	VER:impf
centinaio	NOM
stabilire	VER:infi
coordinare	VER:infi
rete	NOM
progresso	NOM
dintorno	NOM
liberamente	ADV
riflettere	VER:cimp
cacciatore	NOM
affatto	ADV
psicologo	NOM
creare	VER:cpre
parere	NOM
cesta	NOM
ammirazione	NOM
ingrassare	VER:infi
quotidianamente	ADV
salire	VER:pper
capitano	NOM
minacciare	VER:pres
manifestare	VER:infi
elencare	VER:pper
noia	NOM
piacevole	ADJ
annuncio	NOM
colloquio	NOM
offerta	NOM
esploratore	NOM
riportare	VER:infi
scoprire	VER:infi
parcheggiare	VER:infi
formativo	ADJ
pietra	NOM
compositore	NOM
tecnologia	NOM
necessità	NOM
sette	ADJ
scarico	NOM
imbarazzante	ADJ
ritirare	VER:infi
gettare	VER:pper
angoscia	NOM
cadere	VER:pper
efficacia	NOM
magari	ADV
nascondino	NOM
infanzia	NOM
tradire	VER:pper
oblio	NOM
whisky	NOM
passo	NOM
entusiasmo	NOM
negativo	ADJ
raro	ADJ
orale	ADJ
scappare	VER:infi
intraprendere	VER:infi
utilizzare	VER:infi
allerta	NOM
ombra	NOM
aggiunto	ADJ
futuro	NOM
prediligere	VER:infi
fingere	VER:pper
paesaggio	NOM
rispetto	NOM
buon	ADJ
ricercatore	NOM
lassù	ADV
provocare	VER:infi
addirittura	ADV
poliziotto	NOM
tradurre	VER:infi
ognuno	PRO:indef
malvagità	NOM
discendere	VER:impf
generazione	NOM
diploma	NOM
infine	ADV
sindaco	NOM
esigente	ADJ
inciviltà	NOM
carriera	NOM
sottovalutare	VER:infi
spunto	NOM
guerra	NOM
tonnellata	NOM
dirigere	VER
laureare	VER:cimp
avventuroso	ADJ
instabile	ADJ
area	NOM
vibrare	VER:infi
trattare	VER:impf
limite	NOM
salvare	VER:pper
rischio	NOM
almeno	ADV
celebre	ADJ
editoria	NOM
struttura	NOM
trasferire	VER:pper
adottare	VER:infi
porre	VER:pper
cristallino	ADJ
divenire	VER:remo
risparmiatore	NOM
capitare	VER:infi
serra	NOM
fondare	VER:remo
innamorare	VER:infi
disponibile	ADJ
incidente	NOM
mandare	VER:remo
ritenere	VER:infi
mostrare	VER:infi
rivista	NOM
terribilmente	ADJ
barriera	NOM
agio	NOM
rischiare	VER:impf
riversare	VER:pper
saltare	VER:remo
atteggiamento	NOM
rispettare	VER:infi
personalmente	ADV
metodo	NOM
prete	NOM
bel	ADJ
nessun	PRO:indef
ripassare	VER:infi
scelto	ADJ
madrelingua	NOM
minore	ADJ
vantaggio	NOM
comunicare	VER:infi
composizione	NOM
servizio	NOM
complicare	VER:remo
cinque	ADJ
origine	NOM
raggiungere	VER:infi
litigio	NOM
è	NOM
accorgere	VER:pper
politica	NOM
alzare	VER:remo
ipotizzare	VER:pper
menzogna	NOM
combinazione	NOM
traduttore	NOM
riuscire	VER:infi
riguardo	NOM
crescere	VER:pper
abolizione	NOM
salto	NOM
quantità	NOM
smettere	VER:pres
affidare	VER:pres
bisognare	VER:pres
adolescente	NOM
grido	NOM
beffa	NOM
lista	NOM
scorpione	NOM
sbagliato	ADJ
disporre	VER:pper
cenetta	NOM
dolore	NOM
imperatore	NOM
ricominciare	VER:infi
articolato	ADJ
accettare	VER:remo
scavalcare	VER:geru
inaugurare	VER:pper
scavare	VER:geru
avvenimento	NOM
ciò	PRO:demo
ambientale	ADJ
diffondere	VER:pper
pizzico	NOM
raccontare	VER:pper
preoccupare	VER:pper
raccogliere	VER:pres
europeo	ADJ
torrente	NOM
avvenire	VER:pres
guadagnare	VER:pper
acquisire	VER:infi
folle	ADJ
ringraziare	VER:infi
recuperare	VER:pper
scelta	NOM
promozione	NOM
specie	NOM
musicale	ADJ
rivelare	VER:infi
innanzitutto	ADV
nervosismo	NOM
sfilare	VER:pres
incredibile	ADJ
buco	NOM
nascita	NOM
partecipare	VER:infi
metallo	NOM
proporre	VER:pres
contare	VER:remo
comportare	VER:pres
parcheggiare	VER:pper
scritto	ADJ
sognare	VER:impf
raccontare	VER:pres
salvezza	NOM
collaborazione	NOM
fornire	VER:infi
liceo	NOM
contare	VER
formale	ADJ
lupa	NOM
specializzare	VER:pper
dubbio	NOM
possedere	VER:impf
coccodrillo	NOM
schiena	NOM
gran	ADJ
ambiente	NOM
provvedimento	NOM
furbo	ADJ
investimento	NOM
rifiuto	NOM
concludere	VER:pper
decidere	VER:pper
suonato	ADJ
sociale	ADJ
contenere	VER:infi
coprire	VER:pres
intervistare	VER:pper
serie	NOM
disposizione	NOM
smettere	VER:infi
abbandonare	VER:remo
affermare	VER:pres
disabile	NOM
corte	NOM
interazione	NOM
contaminare	VER:pres
abbandonato	ADJ
fata	NOM
coccolare	VER:pper
accadere	VER:pper
occorrere	VER:pres
dichiarare	VER:pper
critico	NOM
sostenere	VER:infi
festeggiare	VER:infi
dirigere	VER:infi
crisi	NOM
risparmiare	VER:infi
salire	VER:infi
invito	NOM
sedici	ADJ
conseguenza	NOM
evidente	ADJ
leggenda	NOM
fedele	ADJ
avvisare	VER:infi
canile	NOM
scivolo	NOM
ormai	ADV
reinserire	VER:pper
indubbiamente	ADV
cruciverba	NOM
comodamente	ADV
compera	NOM
precedente	ADJ
diffondere	VER:infi
ombrellone	NOM
idoneo	ADJ
speciale	ADJ
segno	NOM
informatica	NOM
fede	NOM
disavventura	NOM
attrezzo	NOM
affrontare	VER:pres
posare	VER:pres
giocatore	NOM
calore	NOM
responsabilità	NOM
discarica	NOM
ingenuamente	ADV
fermare	VER:infi
arcobaleno	NOM
fauna	NOM
inventore	NOM
tradurre	VER:pper
legame	NOM
mestiere	NOM
fondo	NOM
ripetutamente	ADV
servire	VER:infi
respirare	VER:pres
perfetto	ADJ
interessato	ADJ
prova	NOM
ferita	NOM
riflessione	NOM
laboratorio	NOM
oltre	ADV
difficoltà	NOM
teologia	NOM
coperto	ADJ
voluttà	NOM
complicare	VER:pper
sintomo	NOM
sé	NOM
scioglimento	NOM
esercitare	VER:infi
denuncia	NOM
calmare	VER:pper
vespa	NOM
comune	NOM
fisica	NOM
notizia	NOM
foresta	NOM
realizzare	VER:infi
lupo	NOM
matematico	ADJ
ascoltatore	NOM
cima	NOM
eccezionale	ADJ
inconfondibile	ADJ
udire	VER:remo
curare	VER:pper
compiere	VER:remo
assistere	VER:pper
decidere	VER:futu
parere	VER:pres
esperto	NOM
purtroppo	ADV
causa	NOM
rendere	VER:infi
dieta	NOM
trasmettere	VER:pres
portafoglio	NOM
costante	ADJ
opera	NOM
perdita	NOM
lettura	NOM
elemento	NOM
merito	NOM
corridoio	NOM
nido	NOM
bicocca	NPR
immagine	NOM
inventato	ADJ
civico	ADJ
ricercare	VER:infi
ballerina	NOM
test	NOM
costruzione	NOM
riguardare	VER:pres
pralina	NOM
adottare	VER:pper
concessione	NOM
viaggiatore	NOM
evento	NOM
pastore	NOM
vistare	VER:pres
scienziato	NOM
presente	ADJ
grave	ADJ
ricostruire	VER:pper
posizione	NOM
ostacolo	NOM
abile	ADJ
risalire	VER:cpre
amarezza	NOM
mescolare	VER:pper
senso	NOM
tipico	ADJ
vulcano	NOM
soddisfatto	ADJ
profondo	NOM
persistere	VER:pres
destrezza	NOM
apertura	NOM
ripieno	ADJ
etico	ADJ
ottimo	ADJ
poeta	NOM
diventare	VER:cimp
offendere	VER:cimp
regola	NOM
dibattito	NOM
spostare	VER:cimp
comparire	VER:infi
fatto	NOM
verità	NOM
fiero	ADJ
oceano	NOM
fiorino	NOM
vinto	ADJ
aggiungere	VER:pres
trionfo	NOM
condizionatore	NOM
sottrarre	VER:infi
conclusione	NOM
preoccupante	ADJ
reale	ADJ
presentare	VER:impf
dea	NOM
trappola	NOM
fa	ADV
dimagrimento	NOM
soprattutto	ADV
infelice	ADJ
quotidiano	ADJ
promettere	VER:infi
relativo	ADJ
sfruttare	VER:infi
migliore	NOM
inciampare	VER:remo
riuscire	VER:remo
orso	NOM
inosservato	ADJ
interessare	VER:impf
arcivescovo	NOM
onore	NOM
maestra	NOM
sottoporre	VER:pper
malattia	NOM
arabo	NOM
apatia	NOM
apprezzato	ADJ
convinto	ADJ
situare	VER:pper
occasione	NOM
attendere	VER:pres
cioccolata	NOM
finalmente	ADV
indimenticabile	ADJ
assieme	ADV
aspetto	NOM
punire	VER:remo
violino	NOM
telegiornale	NOM
nazionale	ADJ
realmente	ADV
privato	ADJ
conoscente	NOM
riunire	VER:remo
gente	NOM
raramente	ADV
colpire	VER:remo
lealtà	NOM
dedicare	VER:pper
decidere	VER:remo
soffrire	VER:pper
fondente	ADJ
particolare	NOM
coraggio	NOM
severamente	ADV
abbigliamento	NOM
commovente	ADJ
allestire	VER:pper
assolutamente	ADV
gradino	NOM
ferire	VER:pper
fronda	NOM
dipendenza	NOM
ideale	ADJ
veterinario	NOM
ingannare	VER:pper
inutilmente	ADV
produrre	VER:cpre
davvero	ADV
camoscio	NOM
puro	ADJ
riprendere	VER:pper
prodotto	NOM
colpire	VER:pres
disperazione	NOM
mossa	NOM
accogliere	VER:pres
visionario	NOM
agitazione	NOM
soffrire	VER:infi
partecipante	NOM
spogliare	VER:pper
scherzo	NOM
completamente	ADV
comunità	NOM
universitario	ADJ
passo	ADJ
archeologo	NOM
mania	NOM
costruire	VER:pper
vedova	NOM
televisivo	ADJ
tipo	NOM
gridare	VER:remo
proporre	VER:impf
speranza	NOM
zona	NOM
nascondiglio	NOM
però	ADV
spostare	VER:infi
influenzare	VER:cpre
consigliare	VER:remo
spedizione	NOM
accadere	VER:pres
compagnia	NOM
stagione	NOM
innamorare	VER:pper
risultato	NOM
prevalenza	NOM
quindici	ADJ
ottenere	VER:pper
ghiacciaio	NOM
rivivere	VER:infi
fisso	ADJ
divertire	VER:infi
del	PRE:Det
editoriale	ADJ
competenza	NOM
regolarmente	ADV
robot	NOM
distinguere	VER:infi
dedurre	VER:infi
naturale	ADJ
pubblicità	NOM
fondare	VER:pper
inquinamento	NOM
paese	NOM
undici	ADJ
allegria	NOM
asciugacapelli	NOM
scultura	NOM
centrale	ADJ
statistica	NOM
abitualmente	ADV
relazione	NOM
inconveniente	NOM
decennio	NOM
concorso	NOM
quadrare	VER:infi
fiducioso	ADJ
degenza	NOM
semplice	ADJ
ammirare	VER:pres
edificio	NOM
cioccolatino	NOM
sostenibile	ADJ
coordinatore	NOM
destino	NOM
originale	ADJ
laurea	NOM
ripagare	VER:pper
lato	NOM
graduale	ADJ
branco	NOM
diventare	VER:remo
tubatura	NOM
brigante	NOM
sottolineare	VER:pres
specialistico	ADJ
legare	VER:pper
emissione	NOM
trenta	ADJ
sufficiente	ADJ
ladro	NOM
impegno	NOM
intervento	NOM
notare	VER:pper
passione	NOM
probabilità	NOM
abbandonare	VER:pper
ventenne	ADJ
resistenza	NOM
uccidere	VER:pper
dedicare	VER:pres
approfittare	VER:geru
fastidio	NOM
descrivere	VER:infi
baita	NOM
occupare	VER:pres
teorico	ADJ
latta|latte	NOM
occupato	ADJ
ricoprire	VER:pper
considerare	VER:pper
accettare	VER:infi
impegnare	VER:impf
attività	NOM
risparmio	NOM
immediatamente	ADV
breve	ADJ
saziare	VER:pres
salvaguardia	NOM
ultima	ADJ
considerare	VER:infi
sciocco	ADJ
spostamento	NOM
radiofonico	ADJ
valere	VER:pres
barbiere	NOM
costringere	VER:remo
munire	VER:pper
concittadino	NOM
cinta	NOM
realtà	NOM
muratore	NOM
fogna	NOM
proposito	NOM
maestro	NOM
richiedere	VER:pper
rasoio	NOM
proprio	ADJ
partecipazione	NOM
commissionare	VER:infi
rilevare	VER:pper
allarmare	VER:infi
effetto	NOM
criterio	NOM
trattare	VER:cimp
discolpare	VER:infi
affilare	VER:infi
incuriosire	VER:pres
morto	NOM
emozionante	ADJ
ripopolare	VER:infi
progetto	NOM
consiliare	ADJ
arricchire	VER:infi
impresa	NOM
girevole	ADJ
originario	NOM
pietoso	ADJ
talento	NOM
fidanzare	VER:pper
borsetta	NOM
base	NOM
fattore	NOM
interesse	NOM
ingiustizia	NOM
ozono	NOM
accettare	VER:pper
volo	NOM
esattamente	ADV
cacao	NOM
fornire	VER:pper
marca	NOM
stringere	VER:infi
abitudine	NOM
follia	NOM
multimediale	ADJ
affacciare	VER:geru
indagine	NOM
ritrovamento	NOM
impegnare	VER:pper
folata	NOM
abitante	NOM
professionalità	NOM
braccare	VER:pper
responsabile	ADJ
insicurezza	NOM
bravata	NOM
proprio	ADV
forza	NOM
acquisto	NOM
direzionare	ADJ
nemico	NOM
magno	ADJ
servire	VER:cimp
invitato	NOM
astronomia	NOM
cogliere	VER:infi
guadagnare	VER:infi
rischiare	VER:infi
nascondere	VER:remo
scolastico	ADJ
governo	NOM
rinchiudere	VER:pper
comparare	VER:infi
augurare	VER:pres
gesto	NOM
professionista	NOM
pentire	VER:cond
umano	NOM
forestiero	NOM
epoca	NOM
prezioso	ADJ
desiderare	VER:cimp
campo	NOM
stimolo	NOM
discordante	ADJ
scorgere	VER
svegliare	VER:geru
ritenere	VER:remo
presentare	VER:pper
gemello	ADJ
sacrificio	NOM
cinquecento	ADJ
guadagno	NOM
sciocco	NOM
innegabile	ADJ
pubblico	ADJ
spettacolare	ADJ
costringere	VER:pper
fantastico	ADJ
attribuire	VER:remo
pazienza	NOM
impaziente	ADJ
passatempo	NOM
credibile	ADJ
scoraggiare	VER:infi
bottega	NOM
riflettere	VER:pres
teatrale	ADJ
maniera	NOM
proposta	NOM
percentuale	NOM
bimbo	NOM
concludere	VER:pres
corsa	NOM
stupido	NOM
uso	NOM
permettere	VER:remo
capotreno	NOM
ingrediente	NOM
metropolitano	ADJ
comune	ADJ
bevanda	NOM
consumare	VER:impf
minacciare	VER:remo
approfondimento	NOM
maturità	NOM
manifestare	VER:pper
essiccare	VER:pper
indicare	VER:pper
raggio	NOM
recupero	NOM
traduzione	NOM
venti	ADJ
frazione	NOM
van	NPR
accademico	ADJ
disperatamente	ADV
tariffa	NOM
marciapiede	NOM
punizione	NOM
figuraccia	NOM
ferito	ADJ
trucco	NOM
vizio	NOM
tema	NOM
voluto	ADJ
salvare	VER:infi
divertire	VER:pper
gruppo	NOM
condizione	NOM
sedere	VER:pper
montascale	NOM
mille	ADJ
inoltre	ADV
circolare	VER:cimp
giada	NPR
crollo	NOM
tale	ADJ
pigrizia	NOM
associazione	NOM
illegalmente	ADV
consecutivo	ADJ
eccellente	ADJ
riportare	VER:impf
gara	NOM
sfortunatamente	ADV
vantaggioso	ADJ
personalità	NOM
forestiero	ADJ
ferocia	NOM
fantasioso	ADJ
sede	NOM
impegnare	VER:cpre
sviluppare	VER:pper
garantire	VER:infi
disabile	ADJ
servire	VER:impf
risultare	VER:remo
insegnamento	NOM
radiocollare	NOM
occupazione	NOM
paga	NOM
scoprire	VER:pper
innamorare	VER:remo
crollare	VER:pres
altra	ADJ
grandezza	NOM
porgere	VER:pres
recare	VER:infi
posizionare	VER:pper
preparato	ADJ
esporre	VER:impf
minimo	ADJ
centomila	ADJ
rivolgere	VER:pres
pur	ADV
sognare	VER:geru
imbiancare	VER:infi
concretezza	NOM
inferiore	ADJ
sostanza	NOM
cinese	ADJ
stancare	VER:pper
architettonico	ADJ
specificatamente	ADV
popolo	NOM
pancia	NOM
turistico	ADJ
trovatosi	NOM
ripercuotere	VER:futu
superare	VER:remo
subire	VER:infi
aperto	ADJ
stipendio	NOM
testardo	ADJ
migliorare	VER:infi
zodiacale	ADJ
capace	ADJ
ramo	NOM
estinzione	NOM
reintrodurre	VER:pper
sincerità	NOM
svuotare	VER:pper
sviluppo	NOM
panorama	NOM
rinunciare	VER:pper
funzionare	VER:pres
ariete	NOM
accoglienza	NOM
ripagare	VER:infi
riferimento	NOM
invece	ADV
scoprire	VER:pres
permettere	VER:infi
rinchiuso	ADJ
sito	NOM
media	NOM
nulla	ADV
amicizia	NOM
sponsor	NOM
calcolo	NOM
astronomico	ADJ
assumere	VER:pper
inviare	VER:pper
improvvisare	VER:infi
impervio	ADJ
attimo	NOM
