maggiore	ADJ	Lei è la maggiore delle due sorelle.	maggiore	Sie ist die ältere der beiden Schwestern.	ältere	Entrambi i genitori lavorano e i bambini restano a casa, controllati da un fratello maggiore o un vicino.	maggiore	Beide Eltern arbeiten und die Kinder bleiben zu Hause, wo ein älterer Bruder oder ein Nachbar auf sie aufpasst.	älterer	E con il vostro sostegno, vi farò avere il maggiore aumento di paga nella storia di questo sindacato.	maggiore	Und mit eurer Unterstützung gebe ich euch die größte Lohnerhöhung in der Geschichte der Gewerkschaft!	größte
responsabile	ADJ	Agiamo, dunque, in maniera responsabile.	responsabile	Handeln wir daher in verantwortlicher Weise!	verantwortlicher	Tom mi chiedeva chi fosse responsabile dell'incidente.	responsabile	Tom fragte mich, wer für den Unfall verantwortlich war.	verantwortlich	Sono responsabile del reparto libri.	responsabile	Ich bin für die Buchabteilung verantwortlich.	verantwortlich
rischiare	VER	Il nostro pensiero va anche ai soccorritori, ai vigili del fuoco e ai poliziotti che hanno rischiato e hanno perso la vita per salvare altre persone.	rischiato	Unsere Gedanken sind auch bei den Rettungskräften, bei den Feuerwehrleuten und bei den Polizisten, die ihr Leben zur Rettung anderer riskierten und es dabei verloren.	riskierten	Hanno rischiato la vita in un viaggio pericoloso.	rischiato	Sie riskierten das Leben auf einer gefährlichen Reise.	riskierten	Sembra facile, ma perché dovremmo rischiare noi?	rischiare	Klingt einfach, aber wozu sollen wir es riskieren?	riskieren
continuamente	ADV	La mia foto è continuamente sui giornali.	continuamente	Die Zeitungen drucken ständig mein Foto ab.	ständig	Ogni nostro movimento è monitorato continuamente.	continuamente	Unsere Bewegungen werden ständig beobachtet.	ständig	Come fa lei a rispondere se il signor Dancer la interrompe continuamente?	continuamente	Wie kann sie antworten, wenn Herr Dancer sie ständig unterbricht?	ständig
direzione	NOM	Prossima fermata: la stazione principale. Si prega di scendere a destra in direzione di marcia.	direzione	Nächster Halt: Hauptbahnhof. In Fahrtrichtung bitte rechts aussteigen.	richtung	La A 7 Kassel in direzione di Hannover è bloccata a livello dell'uscita Göttingen Nord a causa di un incidente.	direzione	Die A 7 Kassel Richtung Hannover ist in Höhe der Ausfahrt Göttingen Nord aufgrund eines Unfalls gesperrt.	Richtung	Sappiamo che hanno una spedizione di forze in direzione sud.	direzione	Die Expeditionsverbände bewegen sich in Richtung Süden.	Richtung
venditore	NOM	Un venditore maleducato non piace a nessun cliente.	venditore	Kein Kunde mag unhöfliche Verkäufer.	Verkäufer	È la prima volta che il cliente fa pressione sul venditore.	venditore	Es ist das erste Mal, dass der Kunde den Verkäufer bearbeitet.	Verkäufer	Sono un ottimo venditore di scarpe.	venditore	Ich bin der beste Schuhverkäufer.	verkäufer
catechina	NOM	Il cioccolato contiene un enzima che si chiama catechina.	catechina	Schokolade enthält ein Enzym die Katechin genannt wird.	Katechin	N/A	N/A	N/A		N/A	N/A	N/A	
sensazionale	ADJ	Sir Joseph Whemple finanzia la scoperta sensazionale realizzata dal British Museum vicino a Atene.	sensazionale	Sir Joseph Whemple finanziert den sensationellen Fund des British Museum in der Nähe von Athen.	sensationellen	Adesso i giornali hanno un altro caso sensazionale di cui scrivere.	sensazionale	Jetzt hat die Presse noch eine sensationellen Fall, über die sie schreiben kann.	sensationellen	Sul mio giornale c‘é uno scoop sensazionale!	sensazionale	In meiner Zeitung gibt es einen sensationellen Knüller.	sensationellen
attribuire	VER	Il medico non attribuì alcuna importanza a quei sintomi.	attribuì	Der Arzt hat diesen Symptomen keinerlei Bedeutung beigemessen.	beigemessen	Forse Tom non ha fatto ciò che gli abbiamo attribuito.	attribuito	Vielleicht hat Tom gar nicht begangen, was wir ihm zuschreiben.	zuschreiben	Bard, non puoi attribuire ogni crimine commesso a Griffin.	attribuire	Bard, du kannst nicht jedes Verbrechen auf Griffin schieben.	schieben
ragù	NOM	In un buon piatto di pasta con il ragù si mette una spolverata di parmigiano.	ragù	In ein gutes Nudelgericht mit Fleischsauce tut man einen Streusel Parmesankäse.	Fleischsauce	N/A	N/A	N/A		N/A	N/A	N/A	
profumeria	NOM	Ho deciso, come regalo di compleanno andrò in profumeria a sceglierle un profumo.	profumeria	N/AIch habe beschlossen, dass ich als Geburtstagsgeschenk in den Parfümladen gehen und ein Parfüm für sie aussuchen werde.	Parfümladen	N/A	N/A	N/A		N/A	N/A	N/A	
oltre	ADV	E oltre a queste tre cose ci vuole coraggio.	oltre	Und außer diesen drei Dingen braucht es Mut.	außer	Io peso oltre duecento chili.	oltre	Ich wiege mehr als zweihundert Kilogramm.	mehr als	Questi fiori oltre a essere belli hanno anche un buon profumo.	oltre	Diese Blumen sind nicht nur schön, sie riechen auch noch gut.	auch noch
trasformazione	NOM	Molte trasformazioni accompagnano la nostra vita privata e professionale.	trasformazioni	Eine Fülle von Veränderungen begleitet unser Berufs- und Privatleben.	Veränderungen	Il latticello è il sottoprodotto della trasformazione in burro della panna.	trasformazione	Die Buttermilch ist das Nebenprodukt aus der Transformation von Butter in Sahne.	Transformation	N/A	N/A	N/A	
famoso	ADJ	Ho un amico il cui padre è un attore famoso.	famoso	Ich habe einen Freund, dessen Vater ein berühmter Schauspieler ist.	berühmter	Detroit è famosa per la sua industria di automobili.	famosa	Detroit ist berühmt für seine Automobilindustrie.	berühmt	Lui è un famoso pittore.	famoso	Er ist ein berühmter Maler.	berühmter
calcetto	NOM	Questa sera non potrò partecipare alla partita di calcetto a causa di una distorsione alla caviglia.	calcetto	Wegen eines verstauchten Knöchels kann ich heute Abend nicht am Fußballspiel teilnehmen.	Fußball	N/A	N/A	N/A		N/A	N/A	N/A	
stimolo	NOM	L'uso in famiglia di una seconda lingua arricchisce l'ambiente del bambino di stimoli che favoriscono il suo sviluppo intellettivo.	stimoli	Der Gebrauch einer zweiten Sprache in der Familie bereichert die Umgebung des Kindes mit Reizen, die seine geistige Entwicklung begünstigen.	Reizen	N/A	N/A	N/A		N/A	N/A	N/A	
pubblicità	NOM	La pubblicità è l'arte di convincere le persone a spendere soldi, che non hanno, per qualcosa di cui non hanno bisogno.	pubblicità	Werbung ist die Kunst, Leute zu überzeugen, Geld auszugeben, das sie nicht haben, für etwas, das sie nicht brauchen.	Werbung	Questa azienda ha speso moltissimi soldi in pubblicità.	pubblicità	Diese Firma hat sehr viel Geld für Werbung ausgegeben.	Werbung	A me sembra solo pubblicità.	pubblicità	Mir scheint es nur Werbung zu sein.	Werbung
fondo	NOM	Il nostro insegnante vive in fondo alla strada.	fondo	Unser Lehrer lebt am Ende der Straße.	Ende	N/A	N/A	N/A		N/A	N/A	N/A	
fiero	ADJ	È molto fiero dei suoi studenti.	fiero	Er ist sehr stolz auf seine Schüler.	stolz	Sono molto fiero di mio figlio.	fiero	Ich bin sehr stolz auf meinen Sohn.	stolz	Lui è fiero di essere un medico.	fiero	Er ist stolz, Arzt zu sein.	stolz
scorpione	NOM	Se trovassi uno scorpione in camera mia, grideri ad alta voce.	scorpione	Ich würde laut schreien, wenn ich einen Skorpion in meinem Zimmer fände.	Skorpion	Lo scorpione è un aracnide che vive nelle zone calde del vecchio mondo.	scorpione	Der Skorpion ist ein Spinnentier, in vielen Gegenden der Welt heimisch.	Skorpion	Ma come avete eluso lo scorpione letale?	scorpione	Aber wie sind Sie dem tödlichen Skorpion entkommen?	Skorpion
fedele	ADJ	Una traduzione è come una donna. Se è bella, non è fedele. Se è fedele, quasi certamente non è bella.	fedele	Eine Übersetzung ist wie eine Frau. Ist sie schön, dann ist sie untreu. Ist sie treu, dann ist sie höchstwahrscheinlich nicht schön.	treu	Marco è rimasto mio fedele amico anche nelle avversità.	fedele	Auch in schweren Zeiten ist Marco ein treuer Freund geblieben.	treuer	Dopo tutto, una bella donna non deve necessariamente essere fedele a suo marito.	fedele	Allerdings muß eine schöne Frau ihrem Ehemann ja nicht unbedingt treu sein!	treu
tradurre	VER	Mi ci sono volute più di 2 ore per tradurre poche pagine di inglese.	tradurre	Ich habe über zwei Stunden gebraucht, um einige Seiten Englisch zu übersetzen.	übersetzen	È difficile tradurre una poesia in un'altra lingua.	tradurre	Es ist schwierig, ein Gedicht in eine andere Sprache zu übersetzen.	übersetzen	Quel romanzo è stato tradotto in sette lingue.	tradotto	Der Roman wurde in sieben Sprachen übersetzt.	übersetzt
mente	NOM	Il fatto che le donne abbiano l'ultima parola, deriva principalmente dal fatto che agli uomini non viene più in mente niente da dire.	mente	Dass die Frauen das letzte Wort haben, beruht hauptsächlich darauf, dass den Männern nichts mehr in den Sinn kommt.	Sinn	Queste parole affascinanti mi sono rimaste impresse nella mente.	mente	Diese faszinierenden Worte haben sich in meinem Gedächtnis eingraviert.	Gedächtnis	“Cosa dovremmo dire a Tom?“ “Non preoccuparti! Mi verrà in mente qualcosa.“	mente	„Was sollen wir Tom sagen?“ – „Keine Sorge! Da kommt mir schon was in den Sinn.“	Sinn
svenire	VER	Se ha paura di svenire, metta la testa fra le ginocchia.	svenire	Wenn Sie glauben ohnmächtig zu werden, stecken Sie den Kopf zwischen die Knie.	ohnmächtig	È in bagno, di sopra. Dice che sente di dover vomitare oppure svenire.	svenire	Sie ist oben im Bad und meint, sie wird ohnmächtig oder muss sich übergeben.	ohnmächtig	Inoltre, Fantasy potrebbe svenire dalla paura.	svenire	Und Fanta würde ohnmächtig vor Schreck.	ohnmächtig
bilancia	NOM	Tom mise la busta di mele sulla bilancia.	bilancia	Tom stellte die Tüte Äpfel auf die Waage.	Waage	Tom salì sulla bilancia.	bilancia	Tom stellte sich auf die Waage.	Waage	Prego, salga sulla bilancia.	bilancia	Stellen Sie sich auf die Waage.	Waage
manifestare	VER	L’errore si è manifestato subito all’inizio o solo in seguito? - Quando?	manifestato	Äußerte sich der Fehler bereits von Anfang an, oder erst später? - Wann?	Äußerte	Solo attraverso la musica sono riuscita a manifestare queste sensazioni.	manifestare	Nur durch die Musik konnte ich meine Gefühle zeigen.	zeigen	N/A	N/A	N/A	
gruppo	NOM	Loro si dividono in gruppi di cinque persone.	gruppi	Sie teilten sich in Gruppen zu fünf Personen auf.	Gruppen	Secondo voi è possibile farsi da zero un nuovo gruppo di amici e cambiare radicalmente vita?	gruppo	Meinen Sie, dass man aus dem Nichts eine neue Gruppe Freunde finden und sein Leben radikal ändern kann?	Gruppe	L'apprendimento cooperativo è un apprendimento in piccoli gruppi.	gruppi	Kooperatives Lernen ist Lernen in kleinen Gruppen.	Gruppen
orecchie	NOM	Io scrivevo poesie sui suoi occhi, sul suo naso, sulle sue deliziose piccole orecchie.	orecchie	Ich schrieb Lieder über ihre Augen, ihre Nase, ihre netten kleinen Ohren.	Ohren	Gli applausi me li sento ancora nelle orecchie. Per anni mi sono rimasti in mente.	orecchie	Der Beifall klingt mir noch in den Ohren. Er ist mir noch jahrelang im Gedächtnis geblieben.	Ohren	Li sento e mi tappo le orecchie con le mani, ma non funziona.	orecchie	Ich höre es und will mir die Ohren zuhalten, aber das hilft auch nichts.	Ohren
numeroso	ADJ	Questa casa occupa una posizione conveniente, ma il guaio è che è troppo piccola per la mia famiglia numerosa.	numerosa	Dieses Haus ist günstig gelegen, aber das Problem ist, dass es für meine große Familie zu klein ist.	große	Numerose stelle erano visibili nel cielo.	Numerose	Am Himmel funkelten zahlreiche Sterne.	zahlreiche	Bob ha numerosi libri in camera sua.	numerosi	Bob hat viele Bücher in seinem Schlafzimmer.	viele
toscano	ADJ	Michelangelo Buonarroti era toscano di nascita; e lo erano anche Dante e Leonardo.	toscano	Michelangelo Buonarroti war gebürtiger Toskaner, ebenso wie Dante und Leonardo.	Toskaner	N/A	N/A	N/A		N/A	N/A	N/A	
lottare	VER	Von Schiller una volta disse: “Contro la stupidità umana gli stessi dei lottano invano“.	lottano	Von Schiller sagte einmal: “Mit der Dummheit kämpfen Götter selbst vergebens.“	kämpfen	Cipro lotta contro la minaccia di bancarotta nazionale.	lotta	Zypern kämpft gegen den drohenden Staatsbankrott.	kämpft	Dobbiamo aiutare coloro che cercano di lottare contro una dipendenza.	lottare	Wir müssen denen helfen, die versuchen, gegen eine Abhängigkeit zu kämpfen.	kämpfen
considerare	VER	In Europa e in America si considera il cane come un membro della famiglia.	considera	In Europa und Amerika betrachtet man den Hund als Mitglied der Familie.	betrachtet	Ognuno di noi considera il proprio mondo personale come la realtà.	considera	Ein jeder von uns betrachtet seine eigene persönliche Welt als die Wirklichkeit.	betrachtet	Possiamo considerare il problema da parecchi punti di vista.	considerare	Wir können das Problem von verschiedenen Standpunkten aus betrachten.	betrachten
ottimo	ADJ	Abbiamo mangiato dell'ottimo pesce.	ottimo	Wir haben hervorragenden Fisch verspeist.	hervorragenden	“I risultati sono buoni?“ “Si, ottimi.“	ottimi	„Sind die Ergebnisse gut?“ – „Ja, hervorragend.“	hervorragend	Oggi il tempo a Boston è ottimo.	ottimo	In Boston ist heute herrliches Wetter.	herrliches
settore	NOM	La cooperazione e gli scambi di conoscenze specifiche vanno incoraggiati e sostenuti in questo settore altamente tecnologico.	settore	In diesem hochtechnologischen Bereich müssen die Zusammenarbeit und der Austausch von Fachkenntnissen angeregt und unterstützt werden.	Bereich	Nel settore della costruzione navale militare gli Stati membri posseggono una riconosciuta competenza tecnica.	settore	Die Mitgliedstaaten verfügen im Bereich des militärischen Schiffbaus über eine anerkannte technische Kompetenz.	Bereich	Il settore alberghiero attualmente è caratterizzato da una concorrenza crescente.	settore	Derzeit ist der Hotelgbereich durch zunehmende Konkurrenz gekennzeichnet.	bereich
immagine	NOM	Un'immagine vale più di mille parole.	immagine	Ein Bild sagt mehr als tausend Worte.	Bild	Quante persone ci sono nell'immagine?	immagine	Wie viele Menschen sind auf dem Bild?	Bild	La ragazza si voltò di nuovo verso lo specchio, esaminando la propria immagine.	immagine	Das Mädchen wandte sich wieder dem Spiegel zu, um ihr eigenes Bild zu prüfen.	Bild
fenomeno	NOM	Probabilmente ogni scienziato metterà a punto la sua teoria per spiegare questo fenomeno.	fenomeno	Wahrscheinlich wird jeder Wissenschaftler seine eigene Theorie zur Erklärung dieses Phänomens entwickeln.	Phänomen	Hai mai formulato delle ipotesi su questo strano fenomeno?	fenomeno	Hast du je Hypothesen über dieses seltsame Phänomen aufgestellt?	Phänomen	Abbiamo bisogno di incorporare variabili culturali nella nostra teoria per spiegare questo fenomeno.	fenomeno	Wir müssen kulturelle Variablen in unsere Theorie zur Erklärung dieser Erscheinung einbeziehen.	Erscheinung
successivo	ADJ	Sono libero il sabato successivo.	successivo	Ich habe kommenden Samstag frei.	kommenden	La maggior parte della gente non sa come si sentirà il momento successivo.	successivo	Die meisten Leute wissen nicht, wie es ihnen im nächsten Moment gehen wird.	nächsten	Cosa importa quando avviene, in questo trimestre o in quello successivo?	successivo	Da ist es doch egal, ob das in diesem oder im nächsten Quartal geschieht!	nächsten
enzima	NOM	Se idrolizzate la sostanza con questo enzima, il processo si attiverà immediatamente.	enzima	Wenn Sie die Substanz mit diesem Enzym hydrolysieren, wird der Prozess sofort aktiviert.	Enzym	N/A	N/A	N/A		N/A	N/A	N/A	
raccontare	VER	L'ultima persona a cui ho raccontato la mia idea, pensava che fossi suonato.	raccontato	Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.	erzählt	Il papà raccontò una bella storia ai bambini.	raccontò	Der Vater erzählte den Kindern eine schöne Geschichte.	erzählte	Ti racconterò tutto a condizione che tu non lo dica a nessuno.	racconterò	Ich werde dir alles erzählen, unter der Bedingung, dass du es niemandem sagst.	erzählen
crollo	NOM	Il crollo dell'Unione Sovietica ha causato problemi enormi.	crollo	Der Zerfall der Sowjetunion hat enorme Probleme verursacht.	Zerfall	Un grave crollo nervoso.	crollo	Er hatte einen schweren Nervenzusammenbruch.	zusammenbruch	N/A	N/A	N/A	
altitudine	NOM	Il veicolo è a 47 miglia, altitudine 43 miglia, velocità 6.000 miglia orarie.	altitudine	Entfernung des Flugkörpers: 47 Meilen. Höhe: 43 Meilen. Geschwindigkeit: 6.100 Meilen pro Stunde.	Höhe	Se i dati sono esatti, la loro altitudine è 2.2 miglia. Angolo di caduta 20°.	altitudine	Wenn unsere Daten korrekt sind, beträgt ihre Höhe 2,2 Meilen der Steigungswinkel 20 Grad.	Höhe	Sta a noi scegliere da quale altitudine sganciare le bombe.	altitudine	Wir können entscheiden, aus welcher Höhe wir die Bomben abwerfen.	Höhe
fertilizzante	NOM	Uso sempre un ottimo fertilizzante per le mie rose che ho sulla terrazza.	fertilizzante	Ich verwende immer einen guten Dünger für meine Rosen, die ich auf der Terrasse habe.	Dünger	N/A	N/A	N/A		N/A	N/A	N/A	
chiuso	ADJ	La porta era chiusa, quando qualcuno bussò.	chiusa	Die Tür war geschlossen, als jemand klopfte.	geschlossen	Perché tengono le loro riunioni a porte chiuse?	chiuse	Warum halten Sie ihre Sitzungen hinter geschlossenen Türen ab?	geschlossenen	Era domenica, e i negozi erano chiusi.	chiusi	Es war Sonntag, und die Geschäfte waren geschlossen.	geschlossen
estinzione	NOM	A proposito di un uccello appartenente a una specie in estinzione, il Condor.	estinzione	Es ging um einen beinahe vom Aussterben bedrohten Vogel, den Condor.	Aussterben	N/A	N/A	N/A		N/A	N/A	N/A	
comunicazione	NOM	Una buona comunicazione con l'allievo è una risorsa decisiva per rendere l'insegnamento efficace.	comunicazione	Eine gute Kommunikation mit dem Schüler ist ein entscheidendes Mittel, um den Unterricht effektiv zu gestalten.	Kommunikation	Quello che cambia il mondo è la comunicazione, non l'informazione.	comunicazione	Nicht Information ist es, was die Welt verändert, sondern Kommunikation.	Kommunikation	È una frase nella comunicazione che ci preoccupa.	comunicazione	Es gibt in der Mitteilung einen Satz, der uns Sorge bereitet.	Mitteilung
festeggiare	VER	Il successo del nostro progetto merita di essere festeggiato.	festeggiato	Der Erfolg unseres Projektes verdient gefeiert zu werden.	gefeiert	Avete già deciso dove festeggerete il Natale?	festeggerete	Haben Sie schon entschieden, wo Sie das Weihnachten feiern werden?	feiern	Noi abbiamo festeggiato il suo compleanno.	festeggiato	Wir feierten seinen Geburtstag.	feierten
