dapprima	[1758790]
percorso	[1759594, 1874163, 2426845]
tecnica	[1226509, 1543501, 1611737, 1758497]
svolgere	[1765078, 3264385, 3264386, 3347311]
grido	[706823, 5550381]
vicinanza	[376198, 1838484, 2510036, 3525539]
figuraccia	[2068454]
tragedia	[1485737, 1593465]
utente	[727003, 3328686, 3328687]
altra	[1907011, 2152280]
diffondere	[430323, 1264514, 2433523, 3102018, 5962390]
gettare	[864999, 998867, 2433713, 3331650, 3522328]
prevenire	[946780, 3282449]
regolare	[2196471]
passeggiare	[613820, 980119, 2163408, 6021613, 6021614]
tradire	[1008551, 3244231, 3244236, 5786407]
sfortunatamente	[375240, 607365, 2189192, 3883324]
definire	[1776999, 1834075, 1849061, 2144702, 2427262]
acustico	[946684, 2437868, 3749218, 3749219]
ricercare	[5600767]
astro	[2090607]
sottovalutare	[755767, 2751567, 2751569]
concorso	[4933426]
cogliere	[632878, 2056093, 3092036]
accogliere	[1758765, 2196302, 3640927, 3640928]
magari	[1350158, 3352157]
cioccolata	[633850, 2197529, 4190659]
bocciare	[3987348]
appuntamento	[3058957, 3810503, 4733734, 5562487]
statua	[1049478]
alligatore	[4819837]
prenotazione	[759986, 1490355, 2584787, 3256510, 3256511]
intervenire	[425511, 1758760, 1762755, 2144743, 3022744]
interazione	[2457780]
vinto	[2201277]
sottolineare	[1759636, 2092829]
vedova	[1168682, 1341673, 2420287]
severo	[387331, 1032314, 2190864]
intervista	[3406964]
impero	[2419072, 3284010, 5749225]
liquido	[819757, 920664, 1827103]
fungo	[2440229, 2440336, 4473313, 4473314, 5530064]
provocare	[1859679, 2328756, 3275906, 3988154]
biscotto	[2615686]
video	[1677140, 1919189, 2793229]
trappola	[3164266]
entusiasmo	[382832, 1083513, 1737231, 4915198]
fidanzato	[1916640, 2759685, 3121591]
manifestazione	[4913004]
svolgimento	[1368154]
avvenire	[612176, 1012843, 1063154, 1803955, 3745052]
instabile	[1561186]
riferimento	[1856712]
ramo	[1033101, 1851326, 2090483, 2445616, 4880972]
metropolitana	[350408, 1829350, 8469484]
percentuale	[3483252]
destino	[585784, 1345131, 3275906, 5820136]
lettore	[766244, 1418875, 4420599, 4829573, 4886413]
sedici	[758861, 772631, 985173]
fondare	[373703, 1545185, 2433015]
ripresa	[3607212]
stringere	[351129, 750721, 3558290, 3558291, 5032052]
area	[707735, 717020, 1219267, 2722097, 3116607]
viaggiatore	[3284010]
commercio	[409390, 852703, 1754674]
giurisprudenza	[3573650, 3573651]
ingegnere	[375600, 1759531, 1777062]
adottare	[612175, 3290927, 3838214]
associazione	[1020523]
inconfondibile	[4998976]
libreria	[634164, 2703962, 3421602, 4857885, 5022244]
scarico	[961780, 1827096, 1827251, 1827257]
superiore	[409637, 716315, 2263463, 2416293, 4852668]
misto	[4916981, 4922682]
collezione	[621740, 634132, 1827034, 3897610, 4553456]
turno	[2213750, 3769811]
particolare	[741765, 1541363, 1759533, 2456093]
criticare	[715201, 4146450, 7775114]
aula	[1758748, 2746659, 5428337]
illustre	[1211170]
dimagrire	[1916346]
dieta	[4700, 406148, 1514736]
arcobaleno	[378137, 1964663, 4936662]
rete	[4537, 1765053, 1806174, 2263687, 2381534]
parsimonioso	[5985755]
originario	[967395]
alcuno	[636340]
elencare	[2140478]
accademico	[1326753]
lassù	[1763977]
necessità	[1758471, 1857161, 3529264]
brillante	[1838558, 4473516]
dicembre	[620627, 634385]
emozionante	[1427191, 2213731, 2412248, 3435789]
titolo	[2364212, 3264402, 6167273, 6173071]
trasformazione	[1859680, 2989599]
grandezza	[794196, 2112390]
attrezzo	[2383804, 3094002]
professionalità	[5169014]
teatrale	[392576, 2430327, 3387920]
respirare	[841126, 1719412, 1844768, 2072306, 3264339]
compagnia	[373843, 1371720, 1499210, 2848171]
innanzitutto	[1758481, 1833836, 2241829]
modello	[1677491, 1677492, 1758471, 1765107, 1856712]
avventuroso	[2559922, 2559924, 2559925, 2559926]
commento	[1239258, 2742649, 3499169, 4904194]
anticipo	[539002, 3026345, 3157661, 3368131, 6325384]
vitamina	[4984420, 4984421]
abilità	[2127885, 2417373, 4922299]
turistico	[750418, 1023436, 4589388, 5402003]
universitario	[373528]
danza	[2275139, 7776127]
cura	[1762755, 1889262, 2784713, 4420737, 4940713]
biglietteria	[2763161]
salvezza	[1850020]
curiosità	[1115620, 1859679, 4922682, 4982276]
garantire	[969386, 1349822, 1838611, 2213980, 5385568]
elemento	[2383781, 2439026]
centinaio	[1160698, 1647848, 1936772, 1936775]
coordinare	[1368164]
luglio	[620627, 898688, 999968, 1979721, 2154224]
fritto	[1693145, 3190039]
sin	[1083869]
disperatamente	[2997641]
meteo	[2925274]
telefonata	[719276, 1684521, 2555723, 2555724, 4971462]
guadagno	[7980061]
inferiore	[1754643, 2263463]
informatico	[500178, 3272231]
svuotare	[3266035]
delicato	[1755067, 8080760]
partecipazione	[1510811]
economia	[906245, 1759544, 1826754, 2003332, 2416904]
inevitabile	[5061881]
compositore	[401495, 6140291]
cuoio	[898090]
pari	[645577, 1000524]
vaccino	[7192424]
allegare	[350371]
totale	[1513491, 3491199, 4610281]
direttore	[387341, 957614, 3339234, 3641354, 4900533]
rifiuto	[1759560, 4417525]
mostra	[1543116, 1874163, 3347311]
ridotto	[3283324, 3283325]
costringere	[1402476, 1816903, 1907047, 1907049]
esagerare	[1758602, 1758659, 3280319]
pancia	[1343958, 3483541, 5786405, 7321562]
farfalla	[376594, 376595, 410190, 691418, 1075406]
improvviso	[706823, 713993, 948240, 2152280]
architettonico	[1796343]
attacco	[396403, 2221383, 2420725, 3474049]
infine	[2193336, 2453594, 3257380, 3663850, 4947640]
dedicare	[2460049, 3280643]
progettare	[2416308, 3296228]
calore	[379771, 379772, 852660, 2577344, 4513403]
accurato	[1759642]
riguardare	[2196491, 2215483, 2394014, 3022744, 3093976]
trasferimento	[3671593]
apprendere	[380656, 1866867, 6592967]
riprendere	[1730768, 1730769, 1803746, 2003332]
rivoluzione	[2212272, 3278911]
olimpico	[1577797]
essiccare	[4420981]
marca	[4436064]
padrone	[827147]
dipendenza	[3044958, 3268828]
spogliare	[2388998]
preservare	[1758799]
asino	[4548, 385343]
panorama	[403026]
studioso	[1874163]
ultima	[1504157, 4831275, 4831276]
foro	[3238452]
intraprendere	[3426024]
salto	[1907111]
iscrivere	[508077, 1978309]
alternativa	[1226137, 2567578, 2567590, 3845463, 3845464]
commovente	[4910805]
conoscente	[713973]
terminare	[971641, 1493045, 1803920, 3219090]
laboratorio	[1535723, 2575516]
inventato	[710704, 904463, 1086042]
combinazione	[503559, 2195795]
perdita	[520925, 632019, 1416105, 2534287]
repubblica	[569290, 2443751, 2458125, 6000632]
tosse	[3021811, 3048648]
cioccolatino	[4919702]
piazza	[2437098, 4880779]
cortese	[3672186]
copiare	[2056030]
novanta	[622290, 1866684]
pubblicità	[1806799, 2213771, 2213818, 2213831, 3319143]
udire	[2198200]
musicale	[2205998, 3375669]
ascensore	[492352, 492355, 1352896, 1352897, 5476830]
riordinare	[705959, 705960, 1751830, 6592965]
alunno	[2291338, 3056945]
classificare	[569602]
differente	[1842563, 1987892, 2272237, 7083019]
diffusione	[2231041]
severamente	[4162976]
metallo	[977444, 2302305, 4644883]
preparativo	[3238498, 3238499]
legato	[4919695]
malvagità	[1309161, 1326851]
obbligatorio	[7124241]
adulto	[1806190, 3062234, 3321112, 3321113, 7713791]
ordinario	[1272855, 1790407, 1792217]
climatico	[720451, 2057313]
dintorno	[2219171, 3525537]
anello	[428814, 1577797, 1741990, 2076160, 2801205]
moneta	[1329316, 1776145, 3343974, 4644883, 4944640]
massiccio	[1719731, 4722517]
rientrare	[5338037, 5338038, 5666044]
stadio	[992595, 3233130, 4150043, 5962390]
oltre	[710354, 2430122, 3280428, 3695179, 3695180]
cerca	[1187890, 2090459, 2717850, 2717851]
autista	[2584485, 5665637]
indagare	[1103712]
supermercato	[381935, 382128, 570424, 2915588, 3072394]
sanità	[399343]
regolarmente	[749477, 2433921, 4310614]
astuto	[2474495]
fiscale	[1471973]
originale	[1002806, 2510733]
