riversare	[10086015]
rubrica	[9875877, 9321908, 9321724, 9116004.0, 9149972, 9131473.0, 9163807, 9322195.0, 9322119, 10404729.0, 9784115, 10408339, 10057024.0, 9891657, 9322400, 9177226, 9076788.0, 9322131, 9245353, 9322066, 10325078, 10396016, 9287949, 10023606, 9212800, 9322004, 9130674, 9288040.0, 9321676, 9115966, 9849048, 9115704.0, 10237508.0, 9077775]
convinto	[9206260.0, 9885679, 10476361.0, 10432897, 9880839, 10033104.0, 9989817, 10075382, 9055851.0, 9477343.0, 9163495.0, 10132461.0, 9377837.0, 9704181.0, 9458283, 10376567.0, 9223598, 9976226.0, 9612013, 10048405, 10431606, 9286283, 9735052, 9933547.0, 9800296.0, 10468743.0, 9525006, 10298170, 9754260, 10261630, 9317975.0, 9343903, 9356961, 9717571, 9189645, 9802884, 9436494.0, 9977838.0, 10320458, 9688772, 9927100, 9399661.0, 9953531, 10339732, 9903952.0, 9837518, 9207110, 10262651, 9648524, 9430358, 9376983, 9864887, 9577822, 9526289, 10133029, 10349954, 9321666, 9275154, 9357081.0, 9936797, 9665192.0, 10203643, 9428972.0, 9953310.0, 10321463.0, 9501039.0, 10277187, 10454593, 10112007, 10200533, 9345263.0, 9820778, 9156710.0, 9293598, 9156096, 10303400, 9643123.0, 9300895, 9555464, 9627462.0, 9058945.0, 9796557.0, 9378016, 9878177.0, 9521112.0, 10319216, 9537397, 9978375.0, 9459574, 10202138, 9661268, 9198340.0, 9693966, 10258106.0, 9547487.0, 10115230.0, 9904811.0, 9650049, 9398324, 10361031, 9098107.0, 9543623, 9377026.0, 9047981, 9330947, 9243989, 10430996, 9378032, 9085359.0, 9132949, 9306303, 10066631.0, 9091646, 9892316, 10250542, 10488870, 10294197.0, 9824952, 9364047, 9088258, 9049524, 9193164, 9717402, 10319423, 10263114, 9642118, 9689408, 9506663, 9568214, 10006141, 10186011, 10129234, 10096347, 10069504, 9402142, 9412241, 9090654, 9733591, 10250336, 10269617, 9311007, 9647479.0, 10197547, 9112585, 10069112, 9985235.0, 9110522, 10231606.0, 9701147, 10175531, 10462966, 10338367.0, 9102177, 9293597.0, 9347141, 9029022, 9113870, 9543602, 10052736, 10133035, 9804301, 10307263, 10216704, 9482997, 10111795, 9172241, 9048954, 10145560, 9167871, 10246722, 9889238, 9528682, 9724712, 9199170.0, 9085495, 10402363, 10403307, 10006142, 9831618, 9449025, 9770140, 9958931, 9789053, 10431837, 9043228, 9758365, 9910865, 9048953, 10202118, 10075088, 9862402, 10465266, 9432949, 9151875, 9450789, 9339528, 10287242, 9542841, 9977912, 10199661, 10108730, 9940469, 10002198, 9072548, 10307465, 9088908.0, 10194104.0, 9060956.0, 9857823.0, 9191057, 9434101.0, 10107654.0, 9261420.0, 10288516.0, 9302087, 9517562, 10111979, 9055671, 9513208.0, 9279952, 9034478, 9001421, 9394595, 9725193, 10477870, 9091191.0, 9909226, 9976029, 9196373.0, 9952329.0, 9510981, 9542808, 9608553, 9252514, 10295547, 9559455, 9072547, 9079330, 9182666, 9297382, 9328744, 9432950, 9651075, 10019074, 10253561, 10290302, 10320353, 10351950, 10377211, 10444151, 10470671]
ininterrottamente	[9876007, 10139209, 9187817, 10057407, 9866127, 10290229.0]
ripiegare	[10437289.0, 9649949, 10463523.0, 10437286, 9163616, 9260898.0]
ingrassare	[9297749.0, 9842235, 9439373.0, 9322691, 9778126.0]
viaggi	[10058014, 10058607, 10104668.0, 10114632, 10059467, 10058303.0, 10058471, 10032533, 10033181, 9295242.0, 10058392, 10207278.0, 9805722, 9243550.0, 10061745.0, 10059407, 10420024, 10059195, 9344082, 9275406, 10058487.0, 10042032, 9921586, 9805217, 10059423, 9281777, 9326765.0, 10468670.0, 9856474, 10387810, 10205160, 9090405, 9793323, 9889106, 9626785, 9520148, 10359866, 10338519, 10034022.0, 10058371.0, 9628299.0, 10324455.0, 9536174, 9270006, 9277956, 9090204, 9626484, 9757942, 10218109, 9122209, 10084918, 10056340.0, 9264515, 9560134, 10061498, 9970987.0, 9926789.0, 10059452, 9863157, 9423184, 9022961.0, 9512759, 9753954, 9056113, 9531407.0, 9520927.0, 9518160.0, 9622993, 9217219, 10358713, 10084381, 9079983, 9536728, 9688027, 9405990, 10315513, 10178789, 9000766, 9135793, 9380830, 9295243, 10208726, 9135792, 9957342, 9665135, 10235016, 9865694, 9075668.0, 10307204.0, 9583635, 10359845.0, 9031181, 9904556, 10447935, 9067997, 9018707, 10103250, 10096353, 9667814.0, 10159218, 9711320]
pauroso	[10017342, 9756601, 9648823, 9300059.0, 9538370, 9243524]
appoggio	[9329903, 9446453, 10121236.0, 9653733, 10242724.0, 10230353, 9952210, 9130710, 9866566.0, 9794608, 9389597.0, 9455165.0, 9010777.0, 9446444, 9943737, 9562364, 10338694.0, 9026572, 9935902, 9086735, 9773295.0, 9613439, 9366030.0, 9381218.0, 9625588, 9220404.0, 10137965.0, 9632211, 10367158.0, 9485507, 10127034.0]
calmare	[9456457.0, 9511359, 10219332, 10176851.0, 10220922, 10240992.0, 9538338.0, 9170535, 9818596, 9036093, 9365228, 9134697.0, 10115915, 10065437]
maggiore	[10423302.0, 9732103.0, 9818965.0, 10061074, 9776017, 10060124.0, 9582743.0, 9469488, 10090342, 10032836.0, 10297371.0, 10467488, 10033379.0, 10434893.0, 9192945.0, 9318711, 9355415.0, 9306658, 9596398.0, 9698501.0, 9943874, 9943877, 9263469.0, 9653463, 9582193, 9645302, 9446912, 9440715.0, 9605127, 9570645.0, 9065042, 9932037, 10440063, 10056596.0, 9171574, 9390706.0, 10056392.0, 10249200, 9742840, 9707388.0, 10113759, 9879901.0, 10311667, 9708044, 9822014.0, 9965453, 9581947.0, 9821558, 9644510.0, 10264888.0, 9405002, 10297370.0, 10083483.0, 9439522.0, 9533039, 9398508, 9706116.0, 9375959, 9847172, 9803700, 10450134.0, 9507934, 9359740, 10119455.0, 9741529.0, 9809923, 10060497.0, 9605151, 9376692, 9701539.0, 9318518, 9029463, 9441690.0, 9852033, 10371353, 10122947, 9053246, 10466603, 9130263, 9100338, 9774265.0, 9375658.0, 9582024.0, 10338827, 10096118.0, 9818967.0, 9332511.0, 10480255.0, 10236561.0, 9159837.0, 9378135.0, 10431655, 9582854, 10249238.0, 9526282, 9581918.0, 9832475.0, 9104647.0, 9605148.0, 9134904.0, 10048642, 10048640, 9104686.0, 9376508, 9642880.0, 10092983.0, 9822026.0, 9594703.0, 9653447.0, 10220929.0, 9456712, 9332189, 10048912.0, 10368445, 9860268, 9918081.0, 9190172, 9695189.0, 9643358.0, 9414077, 10140040, 9101686, 9441631.0, 10231131, 9433670, 9729166, 9809966, 9376097, 9849428, 9104779, 10495293, 9375703.0, 9429077, 9305683, 9774940, 9241287, 9650608.0, 10048622.0, 9650485, 9263978, 9064931, 9413919, 9376102, 9605122, 9878610, 9376593, 9710624.0, 9507453.0, 9700761.0, 9218076, 9053277, 9594833.0, 9642846.0, 9818780.0, 10094130, 9879854.0, 9376088, 9695068.0, 9649246.0, 9306124.0, 9317977.0, 10140049.0, 9593578, 10351502.0, 9376677.0, 9413744.0, 9357191, 9701264, 9414101, 9447405, 9701262.0, 9700770, 9650190, 9594507, 9650654, 9643502, 9695379, 9507536, 9190181.0, 9375919, 10207971, 9376196, 9381724.0, 9376386, 9440657.0, 9743070.0, 9104796.0, 9594670.0, 9698149, 9849203, 9346998.0, 9420874, 9441558.0, 9910068, 10495368, 9703918.0, 10462884, 9104680, 9160660, 9860335.0, 9980734, 9331725, 9100296.0, 9263444, 10259664.0, 9821753, 9652152, 9182994.0, 9582307, 9414125, 9065148, 9445448, 9526972, 9332058, 9695368.0, 9571523.0, 9173139, 9375998, 9528958, 9332312, 9306284, 9220396, 9650138, 9316912, 9582310, 9742843.0, 9695288, 9263575, 9253469, 9253470, 9582297.0, 9849182, 9650697, 9317879, 9318709, 9376670, 9413878, 9264023, 9821959, 9413912, 9582132, 9376174, 9695069, 10338829.0, 10299794, 9439675.0, 9605133, 9375969, 9376106.0, 9166144, 9605173.0, 10351601, 9595537, 9284751.0, 9306090.0, 9192523, 9053833, 10048677.0, 10431539.0, 9742829, 9743256, 10440646, 9160419.0, 9594826.0, 9822028, 9376314.0, 10293602, 9439891, 9625225.0, 10083370, 9699798, 10117682, 9821838, 9666681, 9319114, 10351395, 9710025, 9897330.0, 10351250, 9879950, 9897333.0, 9376065, 9306276, 9532753, 9447234, 9332356, 9582840, 9104688, 9821992, 9450680, 10081484, 9701190, 9691264, 9275788, 9105371, 9648509, 9583177, 9582036, 9331748, 9065145, 9582285, 9190226, 9581928, 9821505, 9678153, 10032852, 9641750, 9395948, 9332360, 9526375, 9699649, 9581922, 9755368, 9100743, 9582122, 9160691, 9649626, 9376511, 9781844, 10142062, 9594687, 10495268, 9847818, 10367385, 9996038, 9583316, 9160730, 9849248, 9101351, 9650503, 9685897, 10367350, 10411890, 9822010, 9835934, 9318908, 9695333, 9306277, 9264026, 9376187, 9376384, 9605097, 9650143, 9581831, 9759856, 10462887, 9413887, 9860523, 10187233, 9526948, 9650174, 9848381, 9053187, 10132171, 9172401, 9263949, 9649257, 9332479, 9650646, 10018743, 9849256, 10125052, 9582229, 9968171, 9583070, 9650379, 10336239, 9464336, 9650628, 9414157, 9064113, 9190161, 10112681, 9582833, 9284797, 9332105, 9581878, 9594827.0, 10278574.0, 9583123.0, 10194881.0, 10491053.0, 9441505, 9166148.0, 10492293.0, 9369155.0, 9231272.0, 9918018.0, 9105795, 9756948, 10463343, 9160729.0, 9978228, 9978229, 9263333, 9582728, 9849117, 9693646.0, 9605145.0, 9582406, 9376130.0, 9318023, 9571519.0, 9775096.0, 10279347.0, 9172777, 9649975, 9264034, 9942505, 9650400.0, 10338884.0, 10338937.0, 10338938.0, 10339448.0, 10411874.0, 10462817.0, 9104579.0, 9583198.0, 10140067, 9376228.0, 9582998, 9920173, 9172800.0, 9643040.0, 9980659.0, 9685895, 9581846, 9263335, 9065134, 10083374, 9847170, 9528276, 9581891, 9236491, 9264826, 9864274, 10314546, 9332062, 9583097.0, 9528627.0, 9171029, 9101296, 9583071.0, 9171860.0, 9774912, 9582119, 9860444, 10336444, 9414084, 9100302.0, 9173836.0, 9849241.0, 9965448.0, 9570714, 9583201, 10351344, 9605137, 9331856, 9376490, 9582290.0, 9413889, 9331665, 9413959, 9582380, 9582612, 9849343, 10367250, 9263488, 9605171, 9242771, 9441190, 10123187, 10458127, 10495264, 10495269, 10495270, 10495419, 9650505, 9582973.0, 9878933, 9867026, 10096194.0, 9053189, 9331701, 9376055, 9605337, 10180780, 9376318, 10336400, 9594835, 9774935, 9332118, 9331884, 9860304, 9447848, 9868760.0, 9263940, 9376253, 9105854, 9161140, 9161141, 9376039, 10018744, 10032864, 9318265, 9650401, 9814102, 9582923, 9434269.0, 9376362, 9571524, 9104383, 9821642, 9679205, 9376635.0, 9583124.0, 10479894, 9582141, 9650032, 9650173, 10278940, 9414322, 9376516, 9331855, 9302192, 9582690, 9643082, 9650274]
arcivescovo	[10308175.0, 10001169.0]
rischiare	[9450648, 10259958.0, 9781009, 10114608.0, 9716412, 9610027.0, 9137257.0, 9795654, 9918062, 9312698, 9612903.0, 9427111, 9060747, 9912081, 10000707, 9030644, 9367481, 9359164, 10456525.0, 9175835.0, 9468779.0, 9550198.0, 9139884.0, 10241511, 9395830.0, 9426799, 9797944.0, 9244718.0, 10283862, 9066316, 9112644, 9375935.0, 9654099.0, 9131158, 9470642.0, 9879786.0, 9150354, 10368925.0, 9237348.0, 9719317, 9051356, 9294252.0, 10387256.0, 9685213, 9020552, 10045873, 9500440, 10439858, 9814147, 9898550, 9571806, 10459402, 9015704, 9421368, 10473885, 9644489, 9164945, 10211825.0, 9132401.0, 9270120, 9048794.0, 9768817, 9472794, 9198021, 9074252, 10444416, 10081707.0, 9991825, 9064894, 10467349, 9119247, 9241938, 9020447, 9533436, 9185101, 10365160, 9571070, 9126503, 9089863, 9753261, 9018290.0, 10444653, 9954096, 9207248, 10374217, 9801396.0, 9175757, 10435924.0, 10106637, 9456420, 10431866.0, 10325099.0, 10371034.0, 9131894.0, 9860186.0, 9209014, 10278794.0, 10117976.0, 9006615, 9983636, 10201923, 9244777, 9012057, 9247932, 9753255, 9174458.0, 10322591.0, 9319085.0, 9920237.0, 9438231, 10364346, 9855937, 9973954.0, 9165064, 9265429, 9572332, 10446777.0, 9359632, 9774551, 9940023, 9373340, 10357694, 9725768.0, 9093695, 9898182, 9335498, 9393267]
continuamente	[10001872, 10002213, 9487114, 10348883, 10171002, 9757488, 10079706.0, 9539442, 10114247, 9619996, 10243117.0, 10116219, 9301460, 10035659, 9223304.0, 10059454, 9108233, 10295557, 9612380, 9276723.0, 10445812.0, 9485053.0, 10060735, 9359453, 9709959, 9436380, 9485110, 10195383.0, 9646838, 10374102, 9882754, 9128177.0, 9938697, 9855391, 10017931, 10084804, 9325789, 10087635, 10334900, 9556247, 9107563, 9354619, 10263127, 9006621.0, 9546404, 9457076, 10426306, 9232751, 9511907.0, 9264114.0, 9926248, 9245150.0, 10299942, 9518663.0, 9568346, 9126157, 9697734, 9869899, 10156849, 10293346, 10345310, 10072140]
proiezione	[9604390.0, 10033053.0, 9538811.0, 10400760.0, 9069091.0, 9499521, 9384896.0, 9899410.0, 10115251, 10495225, 10168659.0, 10312986, 9138203, 10060284.0, 9914865.0, 10263395, 9488081.0]
ammirazione	[9716673, 10382432.0, 9717222.0, 9064046.0, 9074111, 9429601.0, 9889216, 9831636.0, 9770483, 9929774, 10441018, 9609550, 9796210, 10126799, 9431311, 10418375.0, 9558233, 9558062, 9222791, 10334601.0, 9971564.0, 9392358]
venditore	[10270864.0, 9571409.0, 10423477, 9353828, 9400175, 9293965, 9400192, 9147927, 9048482, 9484137.0, 9571312.0, 9116457, 9977408.0, 9977372, 9147903.0, 9517711, 10269628.0, 9590882.0, 9329227.0, 10363994, 9165078, 10363995, 10364276.0, 10126487, 9473341.0, 9039121, 9776955.0, 9376913.0, 9585121.0, 9612314.0, 9018006, 9353783, 10132778.0, 9517800, 10097927.0, 9008953.0, 9546855.0]
catechina	[]
integrato	[10262196.0, 9815485.0, 9815487, 10257870.0, 9727829]
sensazionale	[9168871.0, 9019675.0, 9019327.0, 9871523, 10058925.0, 9060843, 10219586.0, 9736420.0, 9038071, 9085964.0, 9364101.0, 9349366, 9672395, 9899429, 9731681.0, 9992840.0]
attribuire	[10058879.0, 10057048, 9258472.0, 10434359]
yogurt	[9984625.0, 9468538, 9661348.0, 9567233, 10155532.0, 9620196, 9676341.0]
ragù	[9671717.0, 9732997.0]
cesta	[9760770.0, 9744232, 9761017.0, 9110723, 9095930.0, 9514864.0, 10024116.0, 10222874, 9744313, 9348729.0, 9407798.0, 9485007, 9665582, 9744328, 10222861.0, 9761122.0, 9297519.0, 9744306.0, 9514845.0, 9810959]
profumeria	[10211927, 9531365.0]
trasformazione	[9638994, 9469141.0, 10382114, 10085908, 10277666, 10483724, 10425211.0, 10273484.0, 9718007]
stimolo	[9538802, 9688789, 9817533.0, 9438838.0, 9914358, 9285550.0, 9741094.0, 9157624, 9752237, 10439155]
inciampare	[9405875, 9494683, 9516037, 9476747, 9699725, 9132870.0, 9958266.0]
