dapprima	[1758790]
intuire	[2038912]
concessione	[1758490]
ultimamente	[2189466, 374186]
stimolo	[2437991]
attribuire	[1265056, 6843320]
vizio	[1401354, 937680]
indispensabile	[1795486, 1796055]
bimbo	[]
indagine	[4829573, 1805712]
casuale	[5137060]
arrivato	[5465970]
psiche	[4920805]
informatica	[1416105]
disturbare	[418987, 1828256]
magnifico	[]
burocrazia	[2402142]
commessa	[381935]
preso	[1777062]
cacao	[538988, 2429163]
ininterrottamente	[3621241, 4540836]
irlandese	[1250577, 3119200]
profilo	[1461855]
agitare	[2221809, 2221831]
eccezionale	[1792219, 1842400]
calcolo	[]
facoltà	[1811345]
somigliare	[]
promozione	[3319143]
viale	[5414985]
merito	[1856712, 1754669]
persino	[2420968]
codardia	[1321501]
stabilire	[3761070, 2272536]
mistero	[3877208, 2878522]
malgrado	[3093976, 2196471]
grido	[5550381, 706823]
vicinanza	[1838484, 2510036]
figuraccia	[2068454]
tragedia	[1593465]
utente	[727003]
altra	[2152280, 1907011]
prevenire	[3282449, 946780]
regolare	[2196471]
tradire	[]
ricercare	[]
astro	[2090607]
sottovalutare	[755767]
concorso	[4933426]
cogliere	[3092036, 2056093]
magari	[]
cioccolata	[2197529]
bocciare	[3987348]
appuntamento	[3058957]
statua	[1049478]
alligatore	[4819837]
prenotazione	[759986, 2584787]
interazione	[2457780]
vinto	[2201277]
sottolineare	[1759636, 2092829]
vedova	[1341673, 2420287]
severo	[1032314, 387331]
intervista	[3406964]
liquido	[1827103, 920664]
provocare	[2328756, 1859679]
biscotto	[]
video	[1919189, 2793229]
trappola	[3164266]
manifestazione	[4913004]
svolgimento	[1368154]
instabile	[1561186]
riferimento	[1856712]
percentuale	[3483252]
destino	[585784, 5820136]
fondare	[2433015]
ripresa	[3607212]
viaggiatore	[3284010]
giurisprudenza	[3573650, 3573651]
ingegnere	[1777062, 1759531]
adottare	[612175, 3290927]
associazione	[1020523]
inconfondibile	[4998976]
misto	[4922682, 4916981]
turno	[2213750]
vegetariano	[3700684, 1006711]
criticare	[715201, 7775114]
illustre	[1211170]
dimagrire	[1916346]
dieta	[4700, 1514736]
arcobaleno	[1964663, 378137]
parsimonioso	[]
originario	[967395]
alcuno	[636340]
elencare	[2140478]
accademico	[1326753]
lassù	[1763977]
brillante	[1838558]
dicembre	[620627, 634385]
trasformazione	[2989599, 1859680]
grandezza	[2112390, 794196]
attrezzo	[3094002, 2383804]
professionalità	[]
teatrale	[3387920, 2430327]
avventuroso	[]
informare	[2784790, 2784791]
vitamina	[4984420, 4984421]
abilità	[4922299, 2127885]
turistico	[750418, 4589388]
universitario	[373528]
danza	[7776127, 2275139]
biglietteria	[2763161]
salvezza	[]
terribilmente	[2221839]
elemento	[2439026]
coordinare	[1368164]
fata	[3088592, 388169]
fritto	[3190039, 1693145]
sin	[1083869]
disperatamente	[2997641]
meteo	[2925274]
guadagno	[7980061]
inferiore	[2263463, 1754643]
informatico	[3272231]
svuotare	[3266035]
delicato	[8080760, 1755067]
partecipazione	[1510811]
inevitabile	[]
compositore	[6140291, 401495]
cuoio	[898090]
pari	[645577, 1000524]
vaccino	[7192424]
allegare	[350371]
totale	[4610281]
esattamente	[3615827, 1964648]
rifiuto	[1759560, 4417525]
mostra	[1874163, 3347311]
ridotto	[3283324, 3283325]
esagerare	[]
architettonico	[1796343]
posta	[906067, 7957968]
dedicare	[2460049, 3280643]
progettare	[2416308, 3296228]
accurato	[1759642]
trasferimento	[3671593]
apprendere	[1866867, 6592967]
rivoluzione	[2212272]
olimpico	[1577797]
essiccare	[4420981]
marca	[4436064]
padrone	[827147]
dipendenza	[3268828, 3044958]
spogliare	[2388998]
preservare	[1758799]
asino	[]
panorama	[403026]
studioso	[1874163]
ultima	[1504157]
foro	[3238452]
intraprendere	[3426024]
salto	[1907111]
iscrivere	[508077, 1978309]
alternativa	[]
commovente	[4910805]
conoscente	[713973]
febbre	[]
laboratorio	[1535723, 2575516]
combinazione	[2195795, 503559]
tosse	[3021811, 3048648]
cioccolatino	[4919702]
piazza	[4880779, 2437098]
cortese	[3672186]
copiare	[2056030]
novanta	[622290, 1866684]
udire	[2198200]
musicale	[2205998, 3375669]
riordinare	[6592965, 1751830]
alunno	[3056945, 2291338]
classificare	[569602]
diffusione	[2231041]
severamente	[]
metallo	[]
preparativo	[3238498, 3238499]
legato	[4919695]
malvagità	[1326851, 1309161]
obbligatorio	[]
climatico	[2057313, 720451]
dintorno	[2219171]
menzogna	[1856762]
massiccio	[4722517]
autista	[2584485, 5665637]
indagare	[1103712]
annoiare	[967755]
sanità	[399343]
regolarmente	[2433921, 749477]
astuto	[2474495]
fiscale	[1471973]
originale	[1002806, 2510733]
