intraprendere	[3426024, 3426024]
applicazione	[1166632.0, 2132684.0]
specificare	[3162241]
emozionare	[]
arrivato	[5465970]
vitamina	[4984420, 4984421]
intuire	[2038912]
vaccino	[7192424.0]
telegrafo	[999181, 999185]
meraviglia	[2090607, 2205678]
cassetto	[4919695, 4887069]
ridotto	[3283324.0, 3283325.0]
tragedia	[1593465]
liceo	[539006, 539006]
preparativo	[3238498.0, 3238499.0]
concorso	[4933426.0, 4933426.0]
protestare	[2784692.0]
eterno	[1434757]
iscritto	[1758812]
amato	[1196095, 1796288]
ritirare	[7321562.0, 7321562.0]
assicurazione	[350327]
venditore	[1872128]
disegno	[3078245, 3078245]
psiche	[4920805.0]
pancetta	[3779038.0, 3779042.0]
boutique	[5071604]
successivo	[4244347.0]
caloria	[]
negare	[2347180]
sanità	[399343.0]
video	[2793229.0, 1919189]
gratuito	[]
smarrire	[4579898, 5962427.0]
ufficiale	[2059890]
partecipazione	[1510811, 1510811]
maggiore	[1947820.0, 1947820.0]
legato	[4919695]
criticare	[715201.0, 7775114]
maggiormente	[2201288.0]
esigente	[3260860, 3260861]
cervo	[7223173.0]
discarica	[1646130.0]
ingiustizia	[6954345]
punire	[1633225, 1633225]
dimagrire	[1916346]
artistico	[3441513.0]
barriera	[2437218.0]
ininterrottamente	[4540836, 3621241]
trappola	[3164266]
calcolo	[]
liquido	[920664.0, 1827103.0]
massa	[1166632.0, 1325453]
orgoglio	[759894]
malanno	[2784771.0]
ala	[1762730.0, 2254374.0]
promozione	[3319143.0]
atteggiamento	[2428407.0, 2427736.0]
preservare	[1758799]
celebre	[4865651.0]
impaziente	[2022773]
orale	[4518]
astro	[2090607]
illustre	[1211170.0]
riunire	[1735650.0, 1860234.0]
esporre	[4295974.0, 900413]
sottrarre	[]
fogna	[1874159]
salto	[1907111]
ammirazione	[4853058, 5562484]
apatia	[631242.0]
disperatamente	[2997641]
cogliere	[3092036.0, 2056093.0]
rinchiudere	[2206010]
tomba	[758446, 4718301]
fastidio	[3343479]
regolarmente	[2433921, 749477.0]
arcobaleno	[1964663.0, 378137.0]
motivazione	[715665]
trionfo	[1722528]
inferiore	[2263463.0, 1754643.0]
panorama	[403026]
cioccolatino	[4919702]
radicalmente	[1718953, 1867382.0]
posare	[2254374.0, 1851326.0]
cortese	[3672186]
mistero	[3877208, 2878522.0]
coordinare	[1368164.0]
salvezza	[]
annuncio	[]
inciampare	[3305074]
poté	[2206057, 2198516.0]
terribilmente	[2221839.0]
incubo	[1468951, 8469475.0]
crollare	[570411, 570411]
imbarazzante	[]
dipendenza	[3268828.0, 3044958]
scelto	[]
coperto	[1719472.0]
rotella	[]
ente	[1758490.0]
maestra	[2195736, 2453159]
istituto	[1606313, 538991.0]
tradire	[]
grandezza	[794196.0, 2112390]
ascoltatore	[]
turno	[2213750]
rifiuto	[1759560.0, 4417525.0]
commovente	[4910805]
sindaco	[1022999]
imperatore	[3025380, 569338]
concentrazione	[2442466]
astuto	[2474495.0]
comunicativo	[2456034]
allarmare	[3369956.0]
fidanzare	[1873270, 947388]
vespa	[]
puro	[2997135.0, 3490900.0]
sede	[3421137.0]
reincarnazione	[3120669]
scorpione	[6871878]
timidezza	[1720860]
furto	[]
meteo	[2925274]
nido	[5172283.0]
offendere	[]
riscontro	[3672186.0]
percentuale	[3483252]
esattamente	[1964648, 3615827.0]
dintorno	[2219171.0]
sudare	[3317955.0, 4266289]
cordiale	[2417941.0]
avvenimento	[1326980]
professione	[5489729]
figuraccia	[2068454]
occupazione	[1754707.0, 5635280]
vantaggioso	[2427736.0, 380877.0]
antiquario	[6162572]
intervento	[1765095, 1765080]
allegria	[4900533]
scavare	[3021788.0]
spostamento	[2213603]
calmare	[]
vicinanza	[2510036, 1838484.0]
bevanda	[3807090.0]
impoverire	[]
smog	[715193]
indimenticabile	[4877166]
stimolo	[2437991]
attrezzo	[3094002.0, 2383804]
turistico	[750418, 4589388]
sottovalutare	[755767.0]
originario	[967395.0]
vizio	[1401354.0, 937680]
ingegneria	[4750138.0]
cosiddetto	[1759560.0]
compiere	[3546838, 7201297]
destino	[585784, 5820136]
pralina	[996850]
udire	[2198200]
usanza	[2197529.0]
bordo	[1762730.0, 969950]
fedele	[893711, 1211263]
interazione	[2457780.0]
aggiunto	[1743129]
discendere	[976832, 2056533]
cioccolata	[2197529.0]
informatica	[1416105]
fastidioso	[]
avventura	[2437728, 1187890.0]
prete	[625097]
dignitosamente	[627710.0]
vedova	[2420287, 1341673]
attimo	[624971]
riciclabili	[2728287.0]
alligatore	[4819837.0]
burocrazia	[2402142]
merito	[1856712.0, 1754669]
corridoio	[2453995, 439443]
ripagare	[]
pur	[4849680]
chissà	[3671416, 1765896]
compositore	[6140291.0, 401495]
abbandonato	[1510625, 1510629]
zampa	[377220.0]
fosso	[3391582]
condizionatore	[2056101]
cuoio	[898090]
crollo	[3601589.0, 3601590.0]
noia	[1905694, 2796312]
guadagno	[7980061.0]
combinazione	[503559, 2195795.0]
ultima	[1504157.0]
apprendere	[1866867.0, 6592967]
sporgere	[]
pastore	[]
stabilire	[3761070, 2272536]
contattare	[1073334]
autista	[5665637, 2584485]
svuotare	[3266035]
recare	[1810949.0]
essiccare	[4420981.0]
lassù	[1763977]
diffusione	[2231041]
composizione	[]
instabile	[1561186.0]
fucile	[3483541.0]
magari	[]
cespuglio	[1762755]
inutilmente	[]
pertanto	[740368.0, 948080]
provocare	[1859679.0, 2328756.0]
scontato	[]
inno	[2758474.0]
tesoro	[860687, 4620156]
agio	[1010953]
denuncia	[3250110]
inventore	[5413883.0, 969840]
asino	[]
marca	[4436064.0]
spogliare	[2388998]
marciapiede	[4998976.0, 4998946.0]
amarezza	[3561437]
ferita	[382929, 3004012]
indagare	[1103712]
leggenda	[]
teorico	[1296406.0]
liberamente	[1857161, 715201]
furbo	[2474495.0, 3094002.0]
elencare	[2140478]
musicale	[2205998, 3375669]
incuriosire	[2485408.0, 4544715]
lotteria	[]
alternativa	[]
alternare	[3030534]
esploratore	[825809]
accademico	[1326753.0]
interessato	[1759542.0]
massiccio	[4722517.0]
storiella	[1847593]
compera	[999538]
codardia	[1321501.0]
ingrassare	[4622]
parsimonioso	[]
cruciverba	[3268774]
elemento	[2439026.0]
robot	[609456, 3314119.0]
indagine	[4829573.0, 1805712]
ricercare	[]
riversare	[]
indubbiamente	[1032489.0]
sfruttare	[]
tipico	[2193459.0, 905668]
avventuroso	[]
malvagità	[1326851, 1309161]
inconfondibile	[4998976.0]
architettonico	[1796343.0]
indispensabile	[1795486.0, 1796055]
ricominciare	[1915002, 1722431]
stancare	[1766141]
annoiare	[967755]
sottolineare	[2092829, 1759636]
editoriale	[3264147]
inquinamento	[2196491.0]
traduttore	[]
professionalità	[]
metallo	[]
prenotazione	[2584787, 759986.0]
menzogna	[1856762.0]
sepolto	[1931689.0]
bimbo	[]
grido	[5550381, 706823]
preside	[]
cacao	[2429163.0, 538988]
dapprima	[1758790]
eccezionale	[1842400.0, 1792219.0]
cercatore	[2453594]
concessione	[1758490.0]
riferimento	[1856712.0]
quotidianamente	[4434530.0]
whisky	[715679]
esercitare	[2443782]
viaggiatore	[3284010.0]
ingannare	[3164266, 1606313]
subire	[4919303.0]
fata	[3088592, 388169]
