LEMMA	POS	SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		POLYSEMY	ENOUGH_CONTEXT_SENTENCES?
fissare	VER	9261927	È tardi per fissare una tariffa, signor Hammer.	Dazu ist es jetzt zu spät, Mr. Hammer.		9929743	La consegna è fissata per domani.	Und zwar morgen.			N/A	N/A		qualcosa si fissa nella memoria	
comunicare	VER	1758803	Maria è in grado di comunicare in maniera chiara e decisa le sue idee.	Maria kommuniziert ihre Ideen klar und deutlich.		1878306	Sorridiamo perché siamo felici o per comunicare agli altri che siamo felici?	Lächeln wir weil wir glücklich sind oder um den anderen mitzuteilen, dass wir glücklich sind?		3352980	Il risultato delle elezioni sarà comunicato domani.	Das Ergebnis der Wahl wird morgen bekanntgegeben.			X
impiegare	VER	2028978	Impiega dieci ore per vestirsi.	Er braucht zehn Stunden, um sich anzuziehen.		1776893	La distanza Terra-Luna è 384 000 km, quanto tempo impiega un raggio di luce a percorrere tale distanza? Si supponga che la luce non incontri ostacoli viaggiando in linea retta alla velocità di 300 000 km/s.	Die Entfernung zwischen Erde und Mond beträgt dreihundertvierundachtzigtausend Kilometer. Nimm an, dass das Licht auf keinen Widerstand stößt und auf einer geraden Linie mit einer Geschwindigkeit von dreihunderttausend Kilometern pro Sekunde unterwegs ist.		10025446	Potremmo tutti impiegare questo tempo molto meglio.	Wir könnten alle woanders sein.		impiegare del tempo	X
coperto	ADJ	9320653	Devi tenerlo coperto altrimenti si inumidisce.	Du weißt, dass man Salz nicht draußen lassen darf. Es wird feucht.		9156634	Il viso era coperto da un pesante cappuccio. Dal mantello sbucava un pugnale simile a quello che hai anche tu.	Er hatte sein Gesicht vermummt, und an seinem Umhang baumelte ein Dolch wie der Eure.		10057705	Venere era chiaramente coperto da uno strato opaco di spesse e impenetrabili nubi.	Die Venus hatte offenbar eine dichte Wolkenschicht die die Oberfläche verhüllte.			X
severo	ADJ	387331	Era severo con i suoi figli.	Er war streng zu seinen Kindern.		1032314	È molto severo con le persone pigre.	Er ist gegenüber faulen Menschen sehr streng.		10386392	Rimpiango di essere stato forse troppo severo con mia figlia. Troppo esigente. Di non averle dimostrato abbastanza affetto.	Dass ich vielleicht etwas zu streng zu meiner Tochter war, zu anspruchsvoll, ihr nicht genügend Gefühle entgegengebracht habe.			X
fisica	NOM	10261471	Laurea in chimica e biologia, esperto di filosofia, matematica e fisica.	Abschlüsse in Chemie und Biologie, bewandert in Philosophie.		10094482	Il mondo è chimica, chimica è fisica, fisica è biologia.	Es ist alle Chemie. Und Chemie ist Physik, Physik ist Biologie.		10056976	La fisica e la chimica permettono simili forme di vita.	Physikalische und chemische Gesetze erlauben solches Leben.			X
caratteristica	NOM	2112390	Il Paese ha come caratteristica principale la sua grandezza.	Das prägendste Merkmal des Landes ist seine Größe.		1872727	La caratteristica più importante di tutti i giochi è che tutti hanno regole.	Das wichtigste Kennzeichen aller Spiele ist, dass sie alle Regeln haben.		2427303	La capacità di lavorare duro è una caratteristica ammirevole, ma la capacità di rilassarsi non è meno importante.	Die Fähigkeit, hart zu arbeiten, ist eine bewundernswerte Eigenschaft, aber die Fähigkeit, sich zu entspannen, ist genauso wichtig.			X
spina	NOM	664230	Le spine non fanno tanto male se tra loro si vede la bellezza della rosa.	Dornen tun weniger weh, wenn man zwischen ihnen die Schönheit der Rose ausmacht.		9280432	Una spina si è conficcata nel piede.	Der Dorn hat mich ins Bein gestochen.			N/A	N/A			
impaziente	ADJ	9185742	Ha aspettato impaziente per settimane e ora in coda per restituire il biglietto e per riavere indietro i soldi.	Das sich seit Wochen freut, und dann traurig die Karten zurückbringt und das Geld zurückbekommt.		10010350	Ero impaziente di parlarvi, vi devo confidare un segreto.	Ich will dir ein Geheimnis mitteilen. Ich bin ganz Ohr.		9668871	Non vorrei sembrare impaziente, ma sto aspettando visite.	Ich bin nicht gern ungeduldig, aber ich erwarte einen Besucher.			X
improvviso	ADJ	948240	Un uomo anziano mi parlò all'improvviso.	Ein alter Mann sprach mich plötzlich an.		713993	All'improvviso ha cambiato argomento.	Plötzlich wechselte er das Thema.		706823	All'improvviso sentii un grido.	Plötzlich hörte ich einen Schrei.			X
ricostituire	VER		N/A	N/A			N/A	N/A			N/A	N/A			
sottovalutare	VER	755767	In Germania la mafia italiana è un problema sottovalutato.	In Deutschland ist die italienische Mafia ein unterschätztes Problem.		10146768	La scelta è tua ma ti avverto, non sottovalutare i miei poteri.	Du hast die Wahl, aber ich warne dich: Unterschätze niemals meine Kräfte.		10343925	Non sottovalutare te stesso, capito?	Du darfst nicht aufgeben!			X
fastidio	NOM	9949097	Hai deciso che i miei capelli erano troppo lunghi, che mi davano fastidio, e me li hai fatti tagliare.	Du fandst, mein Haar bereite mir zu viel Arbeit, also kam es ab. Es war schrecklich.		9409126	I ragazzini hanno bussato alla porta per tutto il giorno. Per cercare di dar fastidio, sai	Es klopfen ständig Kinder an die Türe, um mich zu necken.		9500064	Era completamente ubriaco, e dava fastidio a tutti quanti.	Er war total blau und nicht zu beruhigen. Er nervte alle.			X
legato	ADJ	9148556	Non ho mai voluto rimanere legato a niente e nessuno, in vita mia.	Ich wollte mich noch nie an etwas oder jemanden binden.		10305040	Sono molto legato a lui, troppo, ho paura.	Ich hänge sehr an ihm. Zu sehr, fürchte ich.		9519706	Tu, forse, non ci crederai ma era molto legato a tua madre.	Sie werden dem vielleicht nicht viel Bedeutung beimessen, aber er hat Ihre Mutter abgöttisch geliebt.		legata alla tradizione luoghi legati a Leonardo	X
liceo	NOM	539006	Mi sarebbe piaciuto partire all'estero durante il liceo, ma i miei genitori non hanno voluto.	Ich wäre gerne während dem Gymnasium ins Ausland gegangen, aber meine Eltern wollten das nicht.		10157205	Quasi tutti i miei compagni di liceo sono ancora ai liceo.	Die meisten, die ich kenne, sind immer noch auf der High School.		9647267	Dopo le vacanze tu andrai in un liceo tedesco.	Du wirst an eine deutsche Schule gehen.			X
oceano	NOM	967363	Dopo aver attraversato tutti gli oceani del globo, annegò in un bicchier d'acqua.	Nachdem er alle Weltmeere durchquert hatte, ertrank er in einem Glas Wasser.		7893555	Alcune camere hanno una vista sull'oceano.	Einige Zimmer haben Meeresblick.		10060530	Ma le più grandiose creature sul pianeta le intelligenti e graziose padrone del profondo oceano sono le grandi balene.	Doch sind die großartigsten Wesen dieses Planeten, die klugen und sanften Herrscher der Tiefsee, die großen Wale.			X
allestire	VER		N/A	N/A			N/A	N/A			N/A	N/A			
stabilire	VER		N/A	N/A			N/A	N/A			N/A	N/A		stabilirsi in un luogo rimanere lì fissi	
ingiustizia	NOM	9421851	Ma qualcuno subisce questa ingiustizia.	Es ist unfair den Menschen gegenüber.		9675069	Lo metterò di fronte a una palese ingiustizia, punendolo senza ragione, dopo che avrà ben eseguito un esercizio.	Ich werde sein Gemüt mit brutaler Ungerechtigkeit testen, indem ich ihn grundlos bestrafe, obwohl er alles richtig gemacht hat.			N/A	N/A			
furbo	ADJ	2474495	L'orso è non solo un animale molto furbo e astuto, ma anche estremamente agile.	Der Bär ist nicht nur ein sehr schlaues und listiges Tier, sondern auch äußerst wendig.		3094002	Il ladro furbo si nascose in un capanno degli attrezzi.	Der listige Dieb versteckte sich in einem Geräteschuppen.		10002121	Potresti essere furbo, Archer, ma non sei altro che uno stupido.	Du bist vielleicht ein Klugscheißer, Archer, aber du bescheißt dich nur selber.			X
discendente	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
risultare	VER	701134	Ciò che ha detto risultò essere vero.	Was er sagte, erwies sich als wahr.		9107434	La profezia risultò sbagliata soltanto in un singolo dettaglio.	Mrs. Fosters prophetische Rede war nur in einem Punkt falsch:		9661735	Scusate la domanda, ma dai documenti risulta che avete preso la cittadinanza svizzera.	So weit ich weiß, sind Sie alle Bürger der Schweiz.			X
abitudine	NOM	1295830	Scrivere in un diario è una buona abitudine.	Ein Tagebuch zu führen ist eine gute Angewohnheit.		955236	Ha l'abitudine di mangiarsi le unghie.	Sie hat die Angewohnheit, ihre Nägel zu kauen.		4908210	Ho creato l'abitudine di andare a letto molto tardi, troppo tardi.	Ich habe es mir angewöhnt, spät ins Bett zu gehen, viel zu spät.			X
smarrimento	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
ciliegio	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
collaborazione	NOM	9613620	E questo prova, senza dubbio, quanto sia preziosa la collaborazione tra i nostri due paesi.	Und das beweist zweifellos die Vorteile einer Zusammenarbeit zwischen Ihrem Land und meinem.		9627499	Con la vostra collaborazione li ritroveremo presto!	Sie haben vor, uns zu vernichten, also ist größte Vorsicht geboten.		10158487	Dodici anni di collaborazione non significano nulla per te?	Zwölf Jahre im Geschäft bedeuten nichts?			X
coprire	VER	4998946	Dopo la pioggia i marciapiedi sono coperti da foglie cadute.	Nach dem Regen sind die Gehwege mit Laub bedeckt.		1700583	Il Monte Fuji è coperto di neve d'inverno.	Der Fuji ist im Winter mit Schnee bedeckt.		1455157	Il tappeto era coperto di peli di gatto.	Der Teppich war voller Katzenhaare.			X
colle	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
perfetto	ADJ	4883579	Queste colline sono perfette per un’escursione a cavallo.	Diese Hügel sind ideal für einen Ausritt.		996082	Vivere in un mondo perfetto è solo un'utopia.	In einer vollkommenen Welt zu leben ist nur eine Utopie.		9894380	Semplice, logico e perfetto. Conosci un sistema migliore?	Weißt du eine bessere Lösung?			X
pagamento	NOM	10072049	Ho calcolato che la mia opera richiederà il pagamento di 2.000 dollari, purché in nero.	Wäre es Ihnen für diese Zeit die Summe von 2000 Dollar wert?		9552673	Quelli li otterrete col secondo pagamento alla consegna del mio cliente.	Die bekommen Sie, wenn mein Klient geliefert wird.		9157449	Ricevo da Tommy Drake 12.000 dollari a pagamento dei debiti.	Erhielt die volle Summe von $12.000,00 von Tommy Drake, Schulden bezahlt.			X
monitorare	VER		N/A	N/A			N/A	N/A			N/A	N/A			
pensionato	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
apertura	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
rischio	NOM	4381	Per farlo, bisogna correre dei rischi.	Um das zu tun, musst du Risiken eingehen.		1083505	Se cammini con il naso per aria rischi di cadere.	Wenn du beim Gehen immer in die Luft schaust, wirst du hinfallen.		351151	Salvò il bambino mettendo a rischio la propria vita.	Er rettete das Kind unter Einsatz seines eigenen Lebens.			X
riprendere	VER	10058320	Gli occhi del Voyager sono due videocamere programmate per riprendere migliaia di immagini del sistema solare.	Die Augen der Voyager Sonde sind 2 Fernsehkameras die Tausende von Bildern vom Sonnensystem aufnehmen sollen.			N/A	N/A			N/A	N/A		telecamere riprendono qlcs riprendersi da un lungo viaggio	
cattiveria	NOM	9329692	La cattiveria contro gli stranieri aumentava sempre di più.	Die Feindseligkeiten gegen die Ausländer nahmen zu.		9666767	Forza, dai sfogo a tutta la tua cattiveria.	Na los, so gemein wie Sie können.		9101847	È una cattiveria bella e buona parlare così al povero papà di Pearl.	Das ist aber ein hartes Stück, was du Pearls armem alten Vater sagst.			X
smog	NOM	715193	La nostra città era ricoperta di smog.	Unsere Stadt versank im Smog.			N/A	N/A			N/A	N/A			
bocciare	VER	3987348	Ho un esame tra pochi minuti e verrò sicuramente bocciato.	In ein paar Minuten habe ich eine Prüfung, und ich werde bestimmt durchfallen.		9407559	Fatti gli affari tuoi, e non farti bocciare alla maturità.	Irgendein Idiot hat Krach geschlagen. Was denn mehr?		9889746	Lei vuole bocciare la candidata a tutti i costi, non e vero?	Sie möchten wohl unbedingt erreichen, dass die Kandidatin durchfällt?			X
decennio	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
scivolo	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
percorso	NOM	2426845	Una scarsa autostima può rappresentare un enorme ostacolo nel percorso verso i nostri obiettivi.	Ein geringes Selbstwertgefühl kann ein enormes Hindernis auf dem Weg zu unseren Zielen sein.		9070233	La ragazza con la mappa, intenta a stabilire il percorso e a individuare nord e sud.	Das Mädchen mit dem Stadtplan, das jeden Schritt ausrechnen will, über Norden und Süden nachdenkt.		9877556	Questo percorso ti porterà alla tua meta, se darai retta a questo consiglio.	Zum Ziele führt dich diese Bahn, Doch mußt du Jüngling!			X
psicologo	NOM	1578295	“Perché gli psichiatri e gli psicologi sono tutti pazzi?“ “Al fine di costruire una base di fiducia con te.“	“Warum sind alle Psychiater und Psychologen verrückt?“ “Um eine Vertrauensbasis mit dir aufzubauen.“		1415894	Tanta gente dovrebbe andare dallo psicologo.	Eine Menge Leute müssten zum Psychologen gehen.		10352815	Per migliorarci, ci facevano fare riunioni con lo psicologo, che cercava di aiutarci a capire perché eravamo quel che eravamo.	Um bessere Leute zu werden, mussten wir zu einem Psychofritzen. Er half uns, herauszufinden, warum wir so waren, wie wir waren.			X
grigliata	NOM	10496706	La prossima volta che uccidiamo un maiale facciamo una grigliata.	Wenn wir das nächste Mal ein Schwein erlegen, gibt es ein Grillfest.			N/A	N/A			N/A	N/A			
discutere	VER	3030588	Negli ultimi mesi i media hanno discusso un solo argomento: la crisi economica.	In den letzten Monaten erörterten die Medien nur ein Thema: die Wirtschaftskrise.		3468526	Entrambi i leader hanno discusso al telefono la situazione in Ucraina orientale.	Beide Staatsoberhäupter erörterten am Telefon die Lage im Osten der Ukraine.		3274784	Penso che sia arrivato il momento che lei discuta il problema con il capo.	Ich glaube, es ist Zeit, dass sie das Problem mit dem Chef bespricht.			X
sfruttare	VER	9186043	Dobbiamo sfruttare ogni minuto.	Jede Minute zählt.		9956951	A loro piace sfruttare le risorse del mondo in questo modo.	Sie missbrauchen ihre Ressourcen gern auf diese Weise.		10116948	Le assicuro che non voglio affatto sfruttare la sua posizione infelice.	Ich versichere Ihnen, ich will nicht von Ihrer Situation profitieren.			X
unico	ADJ	3352814	L'unico giorno libero che ho lo volevo passare in piscina e invece è brutto tempo.	An seinem einzigen freien Tag, den er im Schwimmbad verbringen wollte, herrscht hingegen schlechtes Wetter.		2207159	Il pollo è l'unico animale che si può mangiare prima che nasca e dopo che è morto.	Das Huhn ist das einzige Tier, das man vor der Geburt und nach seinem Tod essen kann.		5540977	Questa è l'unica frase in tedesco che io conosca.	Das ist der einzige deutsche Satz, den ich kenne.			X
colpire	VER	3290750	La crisi ha colpito direttamente il nostro paese.	Die Krise betraf unmittelbar unser Land.		5050615	La pioggia colpisce i vetri delle finestre.	Der Regen klopft an die Fensterscheiben.		9068823	Stava lavorando su un progetto con un piccolo bilancio, e fu davvero colpito dal suo sguardo e dalla sua voce.	Sie spielte in einem kleineren Film mit und er hat sich in ihr Aussehen und ihre Stimme verliebt.		colpire (metaforicamente)	X
ricominciare	VER	1722431	In ogni caso non posso mangiare quanto vorrei, perché il mio stomaco si è rimpicciolito e devo ricominciare gradualmente.	Auf jeden Fall kann ich nicht essen, so viel ich möchte, denn mein Magen ist geschrumpft und ich muss nach und nach wieder anfangen.		9773133	Poi un giorno, sperando di ricominciare una nuova vita lontano dai ricordi ci trasferì dal Texas a Fort Dupree, Sud Dakota.	Um alles zu vergessen und ein neues Leben anzufangen, zog er mit mir nach Fort Dupree in South Dakota.		9771690	Adesso non sta piovendo, ma guardi il cielo, può ricominciare presto.	Sehen Sie sich doch den Himmel an. Es gibt gleich einen Wolkenbruch.			X
oggigiorno	ADV		N/A	N/A			N/A	N/A			N/A	N/A			
rinunciare	VER	387334	Ha rinunciato a bere e a fumare.	Er hat dem Rauchen und Trinken abgeschworen.		2426163	Nella lingua russa ho difficoltà ad articolare i miei pensieri. Ma non rinuncerò.	Meine Gedanken auf Russisch zu formulieren, gelingt mir nur mit Mühe und Not. Doch ich gebe nicht auf.		9165181	Penso che dovremmo rinunciare, lasciar perdere, lasciarci tutto alle spalle.	Ich denke, wir sollten aufgeben und die ganze Ausrüstung hier zurücklassen.			X
fa	ADV	3663850	Infine, come già annunciato un mese fa, la lettera è arrivata.	Endlich ist der bereits vor einem Monat angekündigte Brief eingetroffen.		2430136	Nessuno sa quando è successo, ma certamente era molto tempo fa.	Man weiß nicht, wann das geschah, aber es ist sicherlich lange her.		2383867	Quattro anni fa mi sono comprato questa bicicletta.	Vor vier Jahren habe ich mir dieses Fahrrad gekauft.			X
fornire	VER	3007210	Molto spesso, ad aiutarti non sono le risposte che ti forniscono gli altri, ma le domande che poni a te stesso.	Sehr oft sind es nicht die dir von anderen gegebenen Antworten, welche dir weiterhelfen, sondern die Fragen, die du dir selbst stellst.		903229	Le api ci forniscono il miele.	Bienen geben uns Honig.		2577344	Il sole fornisce luce e calore.	Die Sonne gibt Licht und Wärme.			X
reinserire	VER		N/A	N/A			N/A	N/A			N/A	N/A			
bisognare	VER	3548210	Mi hanno insegnato che quando uno ha un problema bisogna utilizzare tutti i mezzi a disposizione, soprattutto la tenacia.	Mir wurde beigebracht, dass man, wenn man ein Problem hat, alle verfügbaren Mittel einsetzen muss, vor allem die Hartnäckigkeit.		2209460	Non basta sapere, bisogna anche applicare; non basta volere, bisogna anche fare.	Es ist nicht genug, zu wissen, man muss es auch anwenden; es ist nicht genug, zu wollen, man muss es auch tun.		1843921	Prima di star bene con gli altri, bisogna star bene con se stessi!	Um mit anderen gut auszukommen, muss man erst einmal mit sich selbst gut auskommen.			X
rimbalzare	VER	10236699	Perché fanno rimbalzare la palla in continuazione?	Warum prellen die immer den Ball?		10394885	Bello sport. Mi piace soprattutto come fate rimbalzare la palla sulla testa.	Netter Sport, besonders, wie ihr den Ball mit dem Kopf schießt.		9904551	si potrebbero sfruttare le pareti per far rimbalzare le palle.	Da prallen beim Üben die Bälle wieder von der Wand zurück.			X
divertire	VER	2476415	Non mi sono divertita nemmeno per un minuto al party.	Ich habe nicht eine Minute auf der Party genossen.		930652	Ho ancora tanto tempo per divertirmi.	Es bleibt mir noch so viel Zeit, um mich zu amüsieren.		9091426	Alzarsi presto e andar presto a dormire ti mantiene sano ma non ti fa divertire.	Früh aufstehen, früh ins Bett gehen, ist gesund, aber nicht gesellig.			X
professione	NOM	10057307	Lei non capiva il lavoro del marito e guardava la sua professione con disprezzo.	Sie hatte kein Verständnis für die Arbeit ihres Mannes und verachtete seine brotlose Kunst regelrecht.		9988351	Sono gradevole! Ero un insegnante, una professione gradevole.	Ich war Lehrer, ein angenehmer Beruf.		10384925	Sentite, io voglio studiare e imparare una professione!	Was fang ich jetzt mit meinem Lerneifer an?			X
inno	NOM	2758474	L'Estonia ha il suo proprio inno.	Estland hat seine eigene Hymne.		9868721	Ne farò una nazione, con un inno e una bandiera.	Ich mache eine Nation mit Hymne und Flagge daraus.		9575895	Vi canterò un inno che da forza e coraggio ai guerrieri!	Ein Lied, um den Kriegern Mut zu machen!			X
canile	NOM	10261960	Posso suggerire di portare il cane al canile?	Ich schlage vor, wir bringen den Hund zum Zwinger.			N/A	N/A			N/A	N/A			
relativo	ADJ		N/A	N/A			N/A	N/A			N/A	N/A		competenze relative a differenti settori	
territorio	NOM	2430214	Un terzo del territorio svizzero è coperto da foreste.	Ein Drittel des Territoriums der Schweiz ist von Wäldern bedeckt.		750019	La Svizzera si è opposta alla costruzione dei minareti sul suo territorio.	Die Schweiz hat sich dem Bau von Minaretten auf ihrem Gebiet widersetzt.		2201303	La Russia cerca ancora di mantenere la sua influenza iniziale sul proprio territorio.	Russland versucht weiterhin seinen ursprünglichen Einfluss in dem eigenen Hinterhof beizubehalten.			X
purtroppo	ADV	2402142	Molti progetti, purtroppo, non vengono attuati perché la burocrazia è più costosa della realizzazione stessa dei progetti.	Viele Projekte werden leider deshalb nicht umgesetzt, weil die Bürokratie kostspieliger ist als die Projekte selbst.		2124137	Purtroppo il mondo è pieno di idioti.	Leider ist die Welt voller Idioten.		2515979	Purtroppo non guadagno soldi.	Leider verdiene ich kein Geld.			X
torrente	NOM	9120055	Invece di un impetuoso torrente di montagna diventa un ruscello tranquillo.	Der einst wilde Bergstrom verkommt zu einem kleinen Bächlein.		9151729	Come ha fatto a bagnarsi i piedi? Ha guadato il torrente?	Sind Sie durch Wasser gewatet, oder warum sind Ihre Füße nass?		10455471	Il torrente porta alla cascata.	Folgt dem Bach bis zum Wasserfall.			X
marciapiede	NOM	4998946	Dopo la pioggia i marciapiedi sono coperti da foglie cadute.	Nach dem Regen sind die Gehwege mit Laub bedeckt.		9636155	Io ero in macchina e lui sul marciapiede.	Ich war im Auto. Er war auf dem Gehweg.		10486303	Stai guidando sul marciapiede!	Du fährst auf dem Gehweg!			X
respirare	VER	1844768	In questa stanza piena di fumo non si riesce a respirare.	In diesem verrauchten Zimmer kann man nicht atmen.		1719412	Soltando quando rivengo da fuori, mi rendo conto che a casa mia non si respira.	Nur wenn ich von draußen hereinkomme, wird mir klar, dass man in meinem Haus kaum atmen kann.		841126	Gli altri mammiferi sono in grado di respirare e deglutire contemporaneamente in quanto non c'è contatto tra le vie aeree e l'esofago.	Die anderen Säugetiere können gleichzeitig atmen und schlucken, weil es keinen Kontakt zwischen Luftwegen und Speiseröhre gibt.			X
sostanza	NOM	1545193	Acqua e sali minerali sono sostanze inorganiche.	Wasser und Mineralsalze sind anorganische Substanzen.		966176	Tutti sanno che questa sostanza chimica è dannosa per l'uomo.	Jeder weiß, dass diese Chemikalie schädlich für den Menschen ist.		10461837	Può identificare la sostanza contenuta in questo barattolo?	Können Sie die Substanz in diesem Gefäß identifizieren?			X
artista	NOM	6607026	È forse il più noto artista contemporaneo.	Er ist vielleicht der bekannteste zeitgenössische Künstler.		3399401	Durante il Rinascimento, gli artisti dipendevano dai mecenati per il denaro.	Während der Renaissance waren Künstler auf Gönner als Geldgeber angewiesen.		7242991	Maria è probabilmente l'artista più talentuosa della Germania.	Maria ist womöglich die talentierteste Künstlerin Deutschlands.			X
superiore	ADJ	716315	Le scimmie sono superiori ai cani in quanto a intelligenza.	Affen übertreffen Hunde in puncto Intelligenz.		4852668	Gli astronomi stimano la temperatura interna di Giove a 20.000 gradi Celsius, circa tre volte superiore alla temperatura del nucleo terrestre.	Astronomen schätzen die Kerntemperatur des Jupiter auf 20 000 °C, etwa das Dreifache der Erdkerntemperatur.		10369928	Il suo punteggio è di poco superiore a quello del signor Crusher.	Seine Resultate waren etwas besser als die von Mr Crusher.			X
mostro	NOM	1101567	Si credeva che un mostro vivesse nella caverna.	Man glaubte, dass ein Ungeheuer in der Höhle leben würde.		10253458	Non solo quel mostro ha ucciso tutta quella gente, ha ucciso anche Brady.	Nicht genug, dass das Monster all diese Leute getötet hat und Brady.		10059232	Andromeda, nel mito greco era la fanciulla che Perseo salvò da un mostro marino.	Andromeda, so der griechische Mythos war eine Jungfrau, die von Perseus vor einem Seeungeheuer gerettet wurde.			X
